,state,name,lat,lon,type,capacity(MW),production (GWh)
221,AR,Archer Daniels Midland Little Rock,34.7,-92.199722,GAS,4.0,0.0
222,AR,Arkansas Nuclear One,35.311,-93.2351,NUCLEAR,1845.0,14478.258999999998
223,AR,Ashdown,33.6417,-94.1083,BIOMASS,156.5,719.065999
224,AR,Beaver Dam,36.421507,-93.847373,HYDRO,112.0,126.245
225,AR,Blakely Mountain,34.570984,-93.194425,HYDRO,75.0,168.451
226,AR,Bull Shoals,36.3635,-92.5763,HYDRO,340.0,513.677
227,AR,Carl Bailey,35.260102,-91.363426,GAS,120.0,3.1319999999999997
228,AR,Carpenter,34.4425,-93.0262,HYDRO,56.0,106.98100000000001
229,AR,Cecil Lynch,34.7535,-92.1987,GAS,231.0,0.0
230,AR,City Water & Light - City of Jonesboro,35.848561,-90.72537700000001,GAS,224.3,25.1083
231,AR,Clearwater Paper APP CB,33.7061,-91.2371,BIOMASS,20.0,119.227
232,AR,Columbia Flooring Melbourne,36.060514000000005,-91.919802,BIOMASS,2.0,6.808
233,AR,"Cross Oil Refining & Marketing, Inc",33.365,-92.71972199999999,GAS,3.5,16.83052
234,AR,Dam 2,33.986501000000004,-91.315788,HYDRO,102.6,390.25
235,AR,Dardanelle,35.2503,-93.1686,HYDRO,160.8,484.586
236,AR,Degray,34.211913,-93.110963,HYDRO,68.0,75.645
237,AR,Dell Power Plant,35.8619,-90.0253,GAS,679.1,156.765996
238,AR,Elkins Generating Center,35.9714,-94.0014,GAS,66.0,0.473
239,AR,Ellis Hydro,35.351361,-94.294349,HYDRO,32.4,130.889
240,AR,Flint Creek Power Plant,36.2561,-94.5241,COAL,558.0,3635.660007
241,AR,Fourche Creek Wastewater,34.6953,-92.1519,BIOMASS,2.8,7.63322
242,AR,Fulton,33.6094,-93.7924,GAS,154.8,4.806
243,AR,Genova Arkansas I LLC,36.186111,-94.284166,GAS,631.4,0.0
244,AR,Georgia-Pacific Crossett,33.1421,-91.975,BIOMASS,91.6,494.28560899999997
245,AR,Greers Ferry Lake,35.5207,-91.9953,HYDRO,96.0,149.328
246,AR,Hamilton Moses,34.9806,-90.8722,GAS,138.0,0.0
247,AR,Harry D. Mattison Power Plant,36.1855,-94.2841,GAS,349.0,28.552
248,AR,Harvey Couch,33.3592,-93.4649,GAS,182.7,0.0
249,AR,Hot Spring  Energy Facility,34.29759,-92.868344,GAS,1429.7,1266.981
250,AR,Independence,35.678442,-91.408761,COAL,1800.0,10990.483709999999
251,AR,John W. Turk Jr. Power Plant,33.649722,-93.811944,COAL,609.0,4422.640975
252,AR,Lake Catherine,34.4341,-92.9049,GAS,752.0,90.65299999999999
253,AR,Lee Creek Water Treatment Facility,35.484488,-94.39285799999999,HYDRO,1.3,0.003
254,AR,Mabelvale,34.635996999999996,-92.409602,GAS,78.0,0.397
255,AR,Magnet Cove Generating Station,34.4297,-92.8317,GAS,746.0,131.859
256,AR,McClellan,33.5648,-92.7917,GAS,136.0,117.552003
257,AR,Municipal Light,36.3858,-90.1867,OIL,7.2,0.0
258,AR,Murray,34.7956,-92.3569,HYDRO,45.4,135.365
259,AR,Narrows (AR),34.148427000000005,-93.715168,HYDRO,25.5,38.533
260,AR,Norfork,36.2491,-92.2401,HYDRO,80.4,135.66899999999998
261,AR,Osceola (AR),35.6975,-90.0053,OIL,9.6,0.0
262,AR,Oswald Generating Station,34.5923,-92.2166,GAS,599.5,159.24200000000002
263,AR,Ozark,35.4693,-93.8175,HYDRO,100.0,41.77
264,AR,Paragould,36.060556,-90.521389,OIL,4.1,0.0
265,AR,Paragould Reciprocating,36.0242,-90.5094,GAS,19.2,0.524
266,AR,Paragould Turbine,36.024271999999996,-90.509229,GAS,13.9,0.037000000000000005
267,AR,Pine Bluff Energy Center,34.2181,-91.9025,GAS,236.0,1058.494
268,AR,Pine Bluff Mill,34.221213,-91.907365,BIOMASS,85.0,424.05400000000003
269,AR,Plum Point Energy Station,35.6644,-89.9489,COAL,720.0,3626.6189700000004
270,AR,Remmel,34.4272,-92.8941,HYDRO,9.0,35.577
271,AR,Riceland Foods Cogeneration Plant,34.5136,-91.5331,BIOMASS,18.0,30.96
272,AR,Robert E Ritchie,34.4629,-90.5987,GAS,923.1,0.0
273,AR,SR Camden,33.631538,-92.703611,SOLAR,12.0,0.0
274,AR,Thomas Fitzhugh,35.462382,-93.804926,GAS,185.0,26.085
275,AR,Two Pine Landfill Gas Recovery,34.8364,-92.1656,BIOMASS,4.8,34.406
276,AR,Union Power Station,33.296146,-92.589364,GAS,2428.0,6248.56
277,AR,Warren Lumber Mill,33.6206,-92.078889,BIOMASS,15.0,0.0
278,AR,Waste Management Eco Vista LFGTE,36.1758,-94.2056,BIOMASS,4.0,32.141
279,AR,Whillock,35.127590999999995,-92.790273,HYDRO,32.4,153.72299999999998
280,AR,White Bluff,34.4228,-92.1406,COAL,1800.0,10526.995359999999
281,AR,White River Lock and Dam 1,35.757401,-91.636887,HYDRO,4.3,18.136
282,AR,White River Lock and Dam 2,35.744036,-91.76541800000001,HYDRO,3.5,0.0
283,AR,White River Lock and Dam 3,35.84361,-91.850521,HYDRO,4.3,2.0180000000000002
