,state,name,lat,lon,type,capacity(MW),production (GWh)
407,CA,1420 Coil Av #C,33.794283,-118.241405,SOLAR,1.1,2.149
408,CA,2081 Terzian Solar Project,36.67,-119.415833,SOLAR,1.2,1.9180000000000001
409,CA,2097 Helton Solar Project,37.352222,-120.50694399999999,SOLAR,1.5,0.20800000000000002
410,CA,2127 Harris Solar Project,39.291667,-121.669722,SOLAR,1.3,0.792
411,CA,2555 E Olympic Bl,34.026944,-118.224167,SOLAR,1.0,1.341
412,CA,4001 and 2510 ClearVista Solar and Wind,35.106389,-118.392778,0,24.5,0.0
413,CA,85 A,35.1011,-118.3372,WIND,14.1,16.839000000000002
414,CA,85 B,35.1011,-118.3372,WIND,21.2,22.336
415,CA,A G Wishon,37.15105,-119.504724,HYDRO,12.8,6.571000000000001
416,CA,ABEC Bidart-Old River LLC,35.169722,-119.105556,OTHF,2.0,8.013
417,CA,ACE Cogeneration Facility,35.765767,-117.38358400000001,COAL,108.0,331.215
418,CA,"Adelanto Solar II, LLC",34.557221999999996,-117.3775,SOLAR,7.0,0.0
419,CA,Adelanto Solar Project,34.550833000000004,-117.435277,SOLAR,10.0,19.937
420,CA,"Adelanto Solar, LLC",34.557221999999996,-117.3775,SOLAR,20.0,0.0
421,CA,Adobe San Jose,37.330556,-121.893056,GAS,1.2,7.657
422,CA,Aera San Ardo Cogen Facility,35.953293,-120.859952,GAS,6.2,50.071999999999996
423,CA,Aera South Belridge Cogen Facility,35.4292,-119.6864,GAS,9.0,0.0
424,CA,Aerojet I,38.613508,-121.162879,SOLAR,3.0,6.38
425,CA,Aerojet II,38.6086,-121.1703,SOLAR,2.7,4.23
426,CA,Aeroturbine,33.875,-116.625,WIND,4.7,5.4479999999999995
427,CA,AES Alamitos,33.7688,-118.1009,GAS,2055.0,1369.7220000000002
428,CA,AES Huntington Beach,33.6439,-117.9792,GAS,1021.0,912.2339999999999
429,CA,AES Redondo Beach,33.8504,-118.395,GAS,1316.4,249.851
430,CA,Agnews Power Plant,37.4058,-121.9272,GAS,32.0,15.661
431,CA,Agua Mansa Power,34.0414,-117.3603,GAS,60.5,23.668000000000003
432,CA,Aidlin Geothermal Power Plant,38.8339,-122.881,GEOTHERMAL,25.0,139.692
433,CA,Alameda,37.7886,-122.2889,GAS,54.8,1.551
434,CA,Alamo,34.8158,-118.6867,HYDRO,19.6,19.265
435,CA,Alamo Solar,34.682221999999996,-117.3475,SOLAR,18.7,0.0
436,CA,Algonquin Power Sanger LLC,36.6842,-119.5522,GAS,74.0,135.389
437,CA,Algonquin SKIC20 Solar LLC,35.126111,-119.243333,SOLAR,20.0,0.0
438,CA,Aliso Water Management Agency,33.5244,-117.7092,BIOMASS,1.2,0.006
439,CA,Almond Power Plant,37.5744,-120.985,GAS,223.5,217.636
440,CA,Alpaugh 50,35.898333,-119.435278,SOLAR,50.0,133.09758
441,CA,Alpaugh North,35.9025,-119.442778,SOLAR,20.0,53.528999999999996
442,CA,Alpine Solar,34.7892,-118.5047,SOLAR,132.0,167.054
443,CA,Alta Mesa Project Phase IV,33.946389,-116.66333300000001,WIND,40.0,0.0
444,CA,Alta Powerhouse,39.215979,-120.80355,HYDRO,2.0,3.545
445,CA,Alta Wind Energy Center I,35.033725,-118.353422,WIND,150.0,403.255
446,CA,Alta Wind Energy Center II,35.023889000000004,-118.295278,WIND,150.0,328.958
447,CA,Alta Wind Energy Center III,35.023889000000004,-118.295278,WIND,150.0,349.245
448,CA,Alta Wind Energy Center IV,35.008611,-118.242222,WIND,102.0,168.32
449,CA,Alta Wind Energy Center V,35.008611,-118.242222,WIND,168.0,269.901
450,CA,Alta Wind VIII,35.026683,-118.23481100000001,WIND,150.0,282.719
451,CA,Alta Wind X,35.06,-118.2,WIND,138.0,328.08
452,CA,Alta Wind XI,35.065,-118.39,WIND,90.0,249.985
453,CA,Altamont Gas Recovery,37.749308,-121.64986599999999,BIOMASS,8.6,52.075
454,CA,Altamont Midway Ltd,37.7392,-121.4322,WIND,10.9,9.275
455,CA,Altamont Pass Windplant,37.7341,-121.6516,WIND,332.5,339.51300000000003
456,CA,Altech III,33.9603,-116.5364,WIND,25.1,37.867
457,CA,Alvarado Hydro Facility,32.7814,-117.0411,HYDRO,2.1,0.0
458,CA,Amazon San Bernardino,34.088408,-117.24583899999999,GAS,1.1,0.8009999999999999
459,CA,Amedee Geothermal Venture I,40.300833000000004,-120.105,GEOTHERMAL,3.0,1.525
460,CA,Ameresco Butte County,39.674,-121.73,BIOMASS,2.3,15.88
461,CA,Ameresco Chiquita Canyon,34.431664000000005,-118.64285500000001,BIOMASS,9.2,43.806999999999995
462,CA,Ameresco Forward,37.833056,-121.18416699999999,BIOMASS,4.4,19.044
463,CA,Ameresco Johnson Canyon,36.534167,-121.40861100000001,BIOMASS,1.4,7.831
464,CA,Ameresco Keller Canyon,37.97,-121.86,BIOMASS,3.8,29.171999999999997
465,CA,Ameresco Ox Mountain,37.5,-122.4,BIOMASS,11.4,89.07799999999999
466,CA,Ameresco San Joaquin,38.029722,-120.929722,BIOMASS,4.4,20.616
467,CA,Ameresco Santa Cruz Energy,36.9178,-121.8156,BIOMASS,3.0,17.541
468,CA,Ameresco Vasco Road,37.754444,-121.728889,BIOMASS,4.4,30.279
469,CA,Ampersand Chowchilla Biomass LLC,37.106668,-120.248504,BIOMASS,12.5,71.848
470,CA,Anaheim Combustion Turbine,33.853542,-117.85628600000001,GAS,49.2,56.31100000000001
471,CA,Anaheim Solar Energy Plant,33.8025,-117.919722,SOLAR,2.1,1.187
472,CA,Angels,38.071944,-120.53944399999999,HYDRO,1.4,4.285
473,CA,Anheuser-Busch #2,38.233610999999996,-122.0925,WIND,1.6,0.07400000000000001
474,CA,"AP North Lake I, LP",33.74,-117.01055600000001,SOLAR,20.0,0.0
475,CA,Apple Campus 2 Fuel Cell,37.33,-122.01,BIOMASS,4.0,0.0
476,CA,Apple Campus 2 PV,37.33,-122.01,SOLAR,14.4,0.0
477,CA,Argus Cogen Plant,35.765,-117.3833,COAL,62.5,316.298021
478,CA,Arrache 4006,34.655,-118.051111,SOLAR,2.0,4.862
479,CA,Arrache 4013,34.650556,-118.05194399999999,SOLAR,1.5,3.21
480,CA,Arrache 8083,34.647778,-118.06111100000001,SOLAR,4.0,11.588
481,CA,Aspiration G,36.552186,-120.35248100000001,SOLAR,9.0,0.0
482,CA,ASTI,38.761389,-122.975278,SOLAR,1.0,1.44936
483,CA,Atwell Island,35.895,-119.510833,SOLAR,20.2,42.025
484,CA,Atwell Island West Solar,35.815,-119.459722,SOLAR,20.0,0.0
485,CA,Ausra Kimberlina Solar Generation,35.5667,-119.2,SOLAR,5.0,0.013580000000000002
486,CA,AV Solar Ranch One,34.780278,-118.42443999999999,SOLAR,253.0,243.697
487,CA,Avenal Park,35.989722,-120.11,SOLAR,6.0,12.789000000000001
488,CA,Azusa,34.1548,-117.9093,HYDRO,3.0,0.0
489,CA,B Braun Medical,33.688721,-117.83479299999999,GAS,6.1,34.681999999999995
490,CA,Badger Creek Cogen,35.483736,-119.02985600000001,GAS,46.0,233.43900000000002
491,CA,Baker Creek Hydroelectric,40.526389,-123.72555600000001,HYDRO,1.5,1.1540000000000001
492,CA,Bakersfield 111,35.317551,-118.98989399999999,SOLAR,1.4,0.0
493,CA,Bakersfield College Solar 01,35.411817,-118.96864,SOLAR,1.1,2.108
494,CA,Balch 1,36.909137,-119.08771200000001,HYDRO,31.0,44.325
