,state,name,lat,lon,type,capacity(MW),production (GWh)
1773,CO,Adams Community Solar Garden III LLC,39.7867,-104.5877,SOLAR,1.2,0.0
1774,CO,Adams Community Solar Garden LLC,39.7876,-104.5859,SOLAR,1.2,0.0
1775,CO,AFA Solar Farm,38.957901,-104.806627,SOLAR,5.5,11.294
1776,CO,Airport 1 Solar (DIA),39.899444,-104.675338,SOLAR,1.5,2.03
1777,CO,Airport Industrial,38.2844,-104.5308,OIL,10.0,-0.162
1778,CO,Alamosa,37.4594,-105.8947,GAS,53.2,1.8659999999999999
1779,CO,American Gypsum Cogeneration,39.648565000000005,-106.949394,GAS,9.6,17.857
1780,CO,Ames Hydro,37.866,-107.8831,HYDRO,3.6,2.294
1781,CO,Arapahoe,39.67,-105.0028,COAL,240.5,0.0
1782,CO,Arapahoe Combustion Turbine Facility,39.6692,-105.0018,GAS,194.0,192.959
1783,CO,Basalt,39.363056,-106.82194399999999,HYDRO,5.0,20.24
1784,CO,Big Thompson,40.421031,-105.223804,HYDRO,4.5,2.006
1785,CO,Blue Mesa,38.453191,-107.337483,HYDRO,86.4,221.25900000000001
1786,CO,Blue Spruce Energy Center,39.747875,-104.681404,GAS,397.8,300.213005
1787,CO,Boulder Canyon Hydro,40.004725,-105.332495,HYDRO,25.0,19.615
1788,CO,Boulder City Betasso Hydro Plant,40.0111,-105.3347,HYDRO,3.0,8.31
1789,CO,Boulder City Lakewood Hydro,40.0111,-105.3347,HYDRO,3.5,8.31
1790,CO,Boulder City Silver Lake Hydro,39.991310999999996,-105.50003000000001,HYDRO,3.3,10.113
1791,CO,Brighton PV Solar Plant,39.9825,-104.94083300000001,SOLAR,1.8,3.319
1792,CO,Brush Power Projects,40.2415,-103.631,GAS,297.2,66.708
1793,CO,Burlington (CO),39.3561,-102.2431,OIL,129.4,2.556
1794,CO,Busch Ranch Wind Energy Farm,37.801111,-104.49194399999999,WIND,29.0,96.637
1795,CO,Cabin Creek,39.6551,-105.7088,HYDRO,300.0,-159.359
1796,CO,Cameo,39.127778,-108.32611100000001,COAL,75.0,0.0
1797,CO,Carousel Wind Farm LLC,39.334,-102.17299999999999,WIND,150.0,0.0
1798,CO,Carson Solar I,38.7228,-104.7817,SOLAR,2.0,2.11
1799,CO,Carter Hydro,40.324166999999996,-105.20888899999999,HYDRO,2.6,6.276
1800,CO,Castle Creek Hydroplant,39.195,-106.835,HYDRO,1.2,0.0
1801,CO,Cedar Creek II,40.9475,-103.783889,WIND,250.8,758.709
1802,CO,Cedar Creek Wind,40.8944,-104.0206,WIND,300.5,842.7439999999999
1803,CO,Cedar Point Wind,39.421787,-103.67814,WIND,252.0,764.2339999999999
1804,CO,Center,37.755,-106.1092,OIL,1.5,0.0
1805,CO,Cherokee,39.807275,-104.964548,COAL,1426.9,3075.374027
1806,CO,City & County of Denver at Denver Int'l,39.9,-104.659722,SOLAR,3.4,6.732
