,state,name,lat,lon,type,capacity(MW),production (GWh)
2025,DE,Ameresco Delaware Central,39.0339,-75.7233,BIOMASS,5.0,28.736
2026,DE,Ameresco Delaware South,38.5992,-75.4342,BIOMASS,5.0,30.975
2027,DE,Brookside Newark,39.668889,-75.716111,GAS,3.1,0.0
2028,DE,Bruce A Henry Solar Farm,38.656944,-75.408333,SOLAR,4.0,6.233
2029,DE,Christiana Substation,39.7302,-75.5371,OIL,52.0,1.2229999999999999
2030,DE,Croda Atlas Point CHP,39.693333,-75.543056,BIOMASS,2.2,16.78838
2031,DE,DD Hay Road Solar 23 LLC,39.736708,-75.511747,SOLAR,1.2,0.0
2032,DE,Delaware City,39.600408,-75.626811,OIL,18.5,0.963
2033,DE,Delaware City Refinery,39.5871,-75.6343,OTHF,325.2,865.1560000000001
2034,DE,Dover Sun Park,39.183611,-75.50444399999999,SOLAR,10.0,17.792
2035,DE,Edge Moor,39.738859999999995,-75.50384,OIL,710.3,852.31
2036,DE,Garrison Energy Center LLC,39.187195,-75.49939599999999,GAS,361.0,0.0
2037,DE,Hay Road,39.7436,-75.5072,GAS,1193.0,4596.837063
2038,DE,Indian River,38.5857,-75.2341,COAL,804.1,873.0600029999999
2039,DE,Kent County Wastewater Treatment Solar,38.993056,-75.4375,SOLAR,1.2,1.225
2040,DE,McKee Run,39.176221999999996,-75.546628,GAS,151.2,33.479
2041,DE,Milford Solar Farm,38.923056,-75.453333,SOLAR,11.8,20.535
2042,DE,NRG Energy Center Dover,39.149549,-75.547335,GAS,118.0,199.426
2043,DE,Perdue Bridgeville Photovoltaic,38.757689,-75.60203100000001,SOLAR,1.3,2.029
2044,DE,Red Lion Energy Center,39.616389,-75.630556,GAS,27.0,0.0
2045,DE,Seaford Delaware Plant,38.6311,-75.6261,0,30.0,0.0
2046,DE,South Campus Solar,39.781498,-75.548387,SOLAR,1.3,1.716
2047,DE,University of Delaware Wind Turbine,38.782931,-75.16490300000001,WIND,2.0,5.051
2048,DE,Van Sant,39.145036,-75.548172,OIL,45.1,1.8359999999999999
2049,DE,Warren F. Sam Beasley Pwr Station,39.279179,-75.623928,GAS,96.0,42.817
2050,DE,West Substation,39.7283,-75.6289,OIL,20.0,0.06
