,state,name,lat,lon,type,capacity(MW),production (GWh)
2051,FL,6th St Solar Park of Gainesville FL,29.7,-82.333333,SOLAR,1.6,2.673
2052,FL,Anclote,28.184444,-82.788611,GAS,1112.4,2433.908
2053,FL,Anheuser-Busch Jacksonville,30.434240000000003,-81.645351,GAS,8.6,71.722
2054,FL,Arvah B Hopkins,30.4522,-84.4,GAS,1018.9,1535.9920000000002
2055,FL,Auburndale Peaker Energy Center,28.0535,-81.8059,GAS,130.1,12.363
2056,FL,Avon Park,27.579444,-81.492778,OIL,67.4,2.5
2057,FL,Babcock Solar Energy Center,26.861591999999998,-81.751011,SOLAR,74.5,0.0
2058,FL,Baptist Medical Center,30.3156,-81.6644,GAS,13.1,17.66842
2059,FL,Bay County Waste to Energy,30.266057,-85.52067,BIOMASS,13.6,40.177
2060,FL,Bayboro,27.758056,-82.635278,OIL,226.8,6.281000000000001
2061,FL,Bayside Power Station,27.9072,-82.4231,GAS,2797.8,6833.963000000001
2062,FL,Big Bend,27.7944,-82.4036,COAL,2183.9,10127.14973
2063,FL,Big Pine,24.579167,-81.685,OIL,2.7,0.0
2064,FL,Brandy Branch,30.320556,-81.947222,GAS,783.1,3570.2340000000004
2065,FL,Bryant Sugar House,26.814166999999998,-80.662777,0,30.5,0.0
2066,FL,Buckeye Florida LP,30.0688,-83.5253,BIOMASS,69.4,316.36507400000005
2067,FL,Butler Plaza,29.623056,-82.38,SOLAR,1.2,1.3430000000000002
2068,FL,C D McIntosh Jr Power Plant,28.0801,-81.9229,GAS,1281.9,2201.581
2069,FL,C H Corn Hydroelectric Facility,30.388516999999997,-84.646624,HYDRO,12.2,19.879
2070,FL,Cane Island,28.2764,-81.533,GAS,735.5,3590.903
2071,FL,Cape Canaveral,28.4698,-80.7644,GAS,2099.0,6845.355001999999
2072,FL,Cedar Bay Generating Co. LP,30.4225,-81.6064,COAL,291.6,879.977
2073,FL,Central District Wastewater Treat Plant,25.747854999999998,-80.150712,BIOMASS,9.6,15.305
