,state,name,lat,lon,type,capacity(MW),production (GWh)
2241,GA,191 Peachtree Tower,33.7583,-84.3869,OIL,2.4,0.0
2242,GA,AL Sandersville Energy Facility,33.1189,-82.8608,GAS,692.0,9.041
2243,GA,Albany Brewery,31.592827000000003,-84.089527,COAL,6.0,0.0
2244,GA,Allatoona,34.1637,-84.7282,HYDRO,86.6,67.673
2245,GA,Allen B Wilson Combustion Turbine Plant,33.137710999999996,-81.748294,OIL,321.2,2.687
2246,GA,Arkwright,32.926944,-83.699444,0,213.8,0.0
2247,GA,Athens Regional Medical Center,33.9625,-83.3981,OIL,5.3,0.0
2248,GA,Atkinson,33.8175,-84.480278,0,281.6,0.0
2249,GA,Atlanta Gift Mart LP,33.7611,-84.3892,OIL,1.2,0.0
2250,GA,"Azalea Solar, LLC",32.980833000000004,-82.591667,SOLAR,7.7,14.741
2251,GA,Baconton,31.3869,-84.08,GAS,242.0,31.447
2252,GA,Bank of America Plaza,33.7708,-84.3861,OIL,3.0,0.0
2253,GA,Barnett Shoals,33.839475,-83.30971600000001,HYDRO,2.8,0.0
2254,GA,BJ Gas Recovery,33.93,-84.2378,BIOMASS,2.4,9.044
2255,GA,Blue Ridge,34.883889,-84.28222199999999,HYDRO,23.5,31.844
2256,GA,Boulevard,32.0411,-81.145,GAS,46.8,-0.033
2257,GA,Bowen,34.1256,-84.9222,COAL,3540.4,15975.30517
2258,GA,Brunswick Cellulose,31.175406,-81.521637,BIOMASS,72.2,427.059004
2259,GA,Buford,34.162279,-84.07736700000001,HYDRO,217.2,180.168
2260,GA,Burton Dam,34.7939,-83.5406,HYDRO,6.0,17.313
2261,GA,Butler Solar Farm 20,32.575542,-84.316547,SOLAR,20.0,0.0
2262,GA,Butler Solar Project 103,32.561944,-84.27583299999999,SOLAR,103.0,0.0
2263,GA,Camilla Solar Plant,31.183889,-84.13194399999999,SOLAR,16.0,32.012
2264,GA,Camp Solar Plant,32.964721999999995,-84.54388900000001,SOLAR,2.4,4.6930000000000005
2265,GA,Carters,34.6121,-84.6733,HYDRO,500.0,71.403
2266,GA,Chattahoochee Energy Facility,33.4072,-85.0386,GAS,539.7,3020.533
2267,GA,CII Methane Management III LFG Plant,33.925556,-83.263889,BIOMASS,1.6,9.616
2268,GA,CNN Center,33.759167,-84.395,OIL,13.0,0.147
2269,GA,Crisp Plant,31.844708,-83.94073399999999,GAS,17.5,0.532
2270,GA,Dahlberg (Jackson County),34.042266999999995,-83.39772099999999,GAS,919.0,338.571999
2271,GA,Dalton 2,34.718056,-84.931944,SOLAR,5.5,0.504
2272,GA,Decatur County Solar Project,30.965,-84.626111,SOLAR,20.0,0.0
2273,GA,"Decatur Parkway Solar Project, LLC",30.991944,-84.633889,SOLAR,80.0,0.0
