,state,name,lat,lon,type,capacity(MW),production (GWh)
2401,HI,AES Hawaii,21.303419,-158.106528,COAL,203.0,1481.909044
2402,HI,Aloha Solar Energy Fund 1 PK1,21.406944,-158.151389,SOLAR,5.0,0.0
2403,HI,Auwahi Wind Energy,20.596,-156.31799999999998,WIND,35.0,79.75399999999999
2404,HI,"Biomass to Energy Facility, Kauai",21.965278,-159.460556,OIL,10.3,0.32299999999999995
2405,HI,Campbell Industrial Park,21.3025,-158.101667,BIOMASS,113.0,36.573
2406,HI,CEIP Substation Distributed Generation,21.3278,-158.0964,OIL,4.8,0.0
2407,HI,EKS Solar Farm,21.364444,-158.065,SOLAR,5.0,0.0
2408,HI,Ewa Nui Substation DG,21.3756,-158.0478,OIL,9.6,0.0
2409,HI,Gay Robinson,21.9178,-159.6294,HYDRO,7.0,5.8548599999999995
2410,HI,H Power,21.300036,-158.098615,BIOMASS,97.3,382.60699500000004
2411,HI,Hamakua Energy Plant,20.0939,-155.4711,OIL,66.0,182.295004
2412,HI,Hana Substation,20.765832999999997,-155.996111,OIL,2.0,0.032
2413,HI,Hawaii Cogen,21.311667,-158.113889,OIL,12.2,99.7297
2414,HI,Hawaiian Comm & Sugar Puunene Mill,20.867453,-156.453958,BIOMASS,62.1,151.391509
2415,HI,Hawi  Wind Farm,20.257251999999998,-155.850382,WIND,10.6,32.516
2416,HI,Helemano Substation DG,21.5292,-158.0458,OIL,4.8,0.0
2417,HI,HNL Emergency Power Facility,21.336389,-157.919444,BIOMASS,10.0,0.0
2418,HI,Honbushin Solar Blessings Park,21.468889,-158.016389,SOLAR,1.5,0.0
2419,HI,Honolulu,21.3068,-157.8819,OIL,104.4,1.594
2420,HI,Iwilei Tank Farm DG,21.3169,-157.8764,OIL,4.8,0.0
2421,HI,Kahe,21.356395000000003,-158.128853,OIL,609.7,2643.695
2422,HI,Kaheawa Pastures Wind Farm,20.81421,-156.55100000000002,WIND,30.0,108.98
2423,HI,Kaheawa Wind Power II LLC,20.79467,-156.536,WIND,31.0,69.48
2424,HI,Kaheka Hydro,20.8886,-156.3569,HYDRO,4.5,17.827920000000002
2425,HI,Kahuku Wind Power LLC,21.680970000000002,-157.975,WIND,45.0,67.666
2426,HI,Kahului,20.896884,-156.462696,OIL,34.0,126.421
2427,HI,Kalaeloa Cogen Plant,21.302106,-158.096318,OIL,299.4,1309.575999
2428,HI,Kalaeloa Renewable Energy Park,21.328056,-158.04,SOLAR,5.0,8.826
2429,HI,Kalaeloa Solar One,21.318882000000002,-158.083931,SOLAR,6.0,0.0
2430,HI,Kalaeloa Solar Two,21.32,-158.086944,SOLAR,5.0,11.366
