,state,name,lat,lon,type,capacity(MW),production (GWh)
2468,IA,Adair Wind Farm,41.4236,-94.665,WIND,174.8,490.31
2469,IA,Adams Wind,40.92,-94.671667,WIND,154.3,0.0
2470,IA,AG Processing Inc,42.665941,-93.902606,COAL,8.5,0.341
2471,IA,Agency GT,40.816736,-91.14666700000001,GAS,78.8,0.0
2472,IA,AgriReNew,41.691944,-90.866389,BIOMASS,1.0,3.886
2473,IA,Algona,43.0733,-94.2392,OIL,19.3,0.23800000000000002
2474,IA,Allendorf,43.4,-95.6333,WIND,1.2,1.912
2475,IA,Alliant 1 Wind,42.739167,-93.20083299999999,WIND,110.0,0.0
2476,IA,Alliant SBD 8501 Aegon LI,42.0308,-91.7069,OIL,3.1,0.012
2477,IA,Alliant SBD 8601 Quad Graphics,41.7958,-92.0592,OIL,3.6,0.0
2478,IA,Alliant SBD 8602 Marion Sub,42.0289,-91.5975,OIL,5.6,0.022000000000000002
2479,IA,Alliant SBD 8603 Donnelley,42.025,-93.441666,OIL,1.0,0.0
2480,IA,Alliant SBD 9106 Rockwell CR,42.0356,-91.6458,OIL,16.0,0.109
2481,IA,Alliant SBD 9107 JBS USA,42.056000000000004,-92.8971,OIL,11.4,0.061
2482,IA,Alliant SBD 9201 Norplex,43.0906,-91.5542,OIL,2.1,0.038
2483,IA,Alliant SBD 9203 Profol,41.935,-91.6361,OIL,5.6,0.31164000000000003
2484,IA,Alliant SBD 9205 A Y McDonald,42.490556,-90.745,OIL,3.1,0.011000000000000001
2485,IA,Alliant SBD 9206 Donaldson,43.3744,-92.1331,OIL,1.6,0.015
2486,IA,Alliant SBD 9301 Prairie Farms,42.53,-90.6847,OIL,2.9,0.003
2487,IA,Alliant SBD 9302 Aegon NP,42.0264,-91.7042,OIL,1.2,0.004
2488,IA,Alliant SBD 9402 Climax,40.58415,-91.42453,OIL,8.0,0.0
2489,IA,Alliant SBD 9403 Aegon DC,41.9167,-91.6542,OIL,5.7,0.011000000000000001
2490,IA,Alliant SBD 9502 Eaton,42.83815,-93.60325,OIL,5.4,0.24100000000000002
2491,IA,Alliant SBD 9702 Cedar Graphics,42.041667,-91.675,OIL,1.0,0.0
2492,IA,Alliant SBD 9801 Aegon Martha's Way,42.0453,-91.6969,OIL,1.1,0.0
2493,IA,Alliant SBD 9901 GE Capital,41.9244,-91.63852,OIL,1.1,0.002
2494,IA,Alliant SBD0201 Penford Produc,41.97007,-91.66623,OIL,6.1,0.084
2495,IA,Alliant SBG 9802 Toyota,42.02771,-91.7111,GAS,1.0,0.009000000000000001
2496,IA,Alta Municipal Utilities,42.6733,-95.3039,OIL,2.1,0.0
2497,IA,Ames,42.0258,-93.6089,COAL,108.8,283.170002
2498,IA,Ames Diesel Generating Station,42.013319,-93.575416,OIL,2.0,0.0
2499,IA,Anderson Erickson,41.6014,-93.5765,OIL,2.0,-0.04
2500,IA,Anita,41.4444,-94.7689,OIL,3.0,0.02744
2501,IA,Archer Daniels Midland Cedar Rapids,41.9221,-91.6875,COAL,294.6,941.4719970000001
2502,IA,Archer Daniels Midland Clinton,41.8206,-90.2097,COAL,211.4,838.855003
2503,IA,Archer Daniels Midland Des Moines,41.624438,-93.584515,COAL,7.9,23.694000000000003
2504,IA,Atlantic,41.409,-95.0,GAS,15.3,0.079
2505,IA,Bancroft,43.292628,-94.217075,OIL,4.5,0.002
2506,IA,Barton Windpower LLC,43.393,-93.09100000000001,WIND,160.0,373.991
2507,IA,Bellevue,42.25,-90.4167,OIL,8.6,0.009000000000000001
2508,IA,Bloomfield,40.7031,-92.4253,GAS,8.5,0.055999999999999994
2509,IA,Brooklyn,41.7278,-92.4479,OIL,4.6,0.006999999999999999
2510,IA,Brooklyn City North Plant,41.7394,-92.4394,OIL,2.0,0.006999999999999999
2511,IA,Buffalo Center Wind LLC,43.385833,-92.75944399999999,WIND,1.5,6.59
2512,IA,Bulldog,41.2258,-94.4406,WIND,1.5,5.837999999999999
2513,IA,Burlington (IA),40.7412,-91.116667,COAL,290.8,1123.924048
2514,IA,Cargill Corn Milling Division,41.1386,-92.6467,COAL,40.0,90.563012
2515,IA,Carroll Area Wind Farm,41.94143,-94.8861,WIND,20.0,0.0
2516,IA,Carroll Wind Farm,42.1622,-94.93,WIND,150.0,517.495
2517,IA,Cascade,42.2275,-91.113739,OIL,5.2,0.011000000000000001
2518,IA,Centerville,40.7478,-92.873056,OIL,60.0,-0.597
2519,IA,Century,42.5644,-93.6369,WIND,200.0,589.0840000000001
2520,IA,Charles City Wind Farm,43.0003,-92.62,WIND,75.0,240.82
2521,IA,Coggon,42.2925,-91.5581,OIL,3.4,0.0
2522,IA,Coon Rapids II,41.871043,-94.680777,OIL,5.4,0.021
2523,IA,Coralville GT,41.671877,-91.563999,GAS,72.0,-0.223
2524,IA,Corning,40.974,-94.7669,OIL,10.0,0.031
2525,IA,Crane Creek Wind Energy Center,43.397778,-92.473611,WIND,99.0,312.441
2526,IA,Crosswind Energy Project,43.0475,-94.9228,WIND,21.0,75.755
2527,IA,Crystal Lake 3 LLC,43.3192,-93.8836,WIND,66.0,176.83700000000002
2528,IA,Cumberland Rose,41.226944,-94.434722,WIND,1.6,6.0889999999999995
2529,IA,Davenport Water Pollution Control Plant,41.4928,-90.6275,BIOMASS,1.6,8.59656
2530,IA,Dayton (IA),42.2525,-94.0581,OIL,2.5,0.018000000000000002
2531,IA,Dayton Avenue Substation,42.0272,-93.5828,OIL,78.7,-0.19
2532,IA,Des Moines Wastewater Reclamation Fac,41.6008,-93.6089,BIOMASS,4.6,12.37936
2533,IA,Dike City Power Plant,42.4622,-92.6264,OIL,2.2,0.031
2534,IA,Duane Arnold Energy Center,42.1011,-91.7781,NUCLEAR,679.5,4152.468
2535,IA,Dubuque,42.5031,-90.658611,GAS,85.2,10.992
2536,IA,Durant,41.599759999999996,-90.91195,OIL,7.4,0.04704
2537,IA,Earl F Wisdom,43.1606,-95.2569,GAS,119.1,14.317
2538,IA,Earlville,42.4942,-91.2725,OIL,1.8,0.011000000000000001
2539,IA,Eclipse Wind Farm,41.554651,-94.685004,WIND,200.0,757.385
2540,IA,Electrifarm,42.4407,-92.4205,GAS,264.1,23.785
2541,IA,Elk Wind Farm,42.583889,-91.37083299999999,WIND,40.8,145.887
2542,IA,Emery Station,43.093999999999994,-93.292222,GAS,602.8,1013.806
2543,IA,Estherville,43.4028,-94.8433,GAS,17.6,0.157
2544,IA,Exira Station,41.514365000000005,-94.919729,GAS,181.5,5.096
2545,IA,Fair Station,41.4569,-90.8233,COAL,62.5,0.0
2546,IA,Flying Cloud Power Partners LLC,43.3897,-95.2997,WIND,43.5,154.74200000000002
2547,IA,Fontanelle,41.338889,-94.57,WIND,1.6,6.119
2548,IA,Forest City Light Plant,43.263234999999995,-93.63538299999999,OIL,22.0,0.223
2549,IA,FPL Energy Crystal Lake Wind II LLC,43.273731,-93.800002,WIND,200.0,569.925
2550,IA,FPL Energy Crystal Lake Wind LLC,43.2125,-93.8311,WIND,150.0,551.368
2551,IA,FPL Energy Story Wind LLC,42.1044,-93.2722,WIND,150.0,504.87300000000005
2552,IA,Franklin County Wind Farm,42.606737,-93.336453,WIND,99.0,221.965
2553,IA,Garden Wind LLC,42.224436,-93.373625,WIND,150.0,421.227
2554,IA,Gas Turbine (IA),42.512,-92.476,GAS,43.4,0.9670000000000001
2555,IA,George Neal North,42.299794,-96.361707,COAL,1080.3,3342.1369640000003
2556,IA,George Neal South,42.3006,-96.3617,COAL,695.9,4323.333046
2557,IA,Gilliam South,41.496111,-94.32722199999999,OIL,4.3,0.004
2558,IA,Gowrie,42.274514,-94.270195,OIL,4.9,0.01
2559,IA,Graettinger,43.2397,-94.7498,OIL,3.6,0.027000000000000003
2560,IA,Grand Junction,42.0296,-94.3699,OIL,2.2,0.0098
2561,IA,Greater Des Moines Energy Center,41.5563,-93.5283,GAS,576.3,79.271
2562,IA,Greenfield,41.303889,-94.46055600000001,OIL,6.1,0.016
2563,IA,Greenfield Wind,41.29,-94.485,WIND,1.6,5.8020000000000005
2564,IA,Grinnell,41.7529,-92.748889,GAS,47.6,5.766
2565,IA,Grundy Center City Light Plant,42.363094,-92.772322,OIL,8.7,0.096
2566,IA,Hancock County Wind Energy Center,43.0533,-93.6305,WIND,98.0,269.038
2567,IA,Hardin Hilltop Wind LLC,42.0822,-94.365,WIND,14.7,46.998999999999995
2568,IA,Harlan,41.644542,-95.315283,OIL,3.4,0.004
2569,IA,Hawkeye Power Partners LLC,43.047222,-93.4775,WIND,42.0,93.546
2570,IA,Hawkeye Wind Farm,42.948889,-92.06222199999999,WIND,36.0,139.29
2571,IA,Highland Wind Project (IA),43.080278,-95.656111,WIND,504.1,0.0
2572,IA,Hopkinton,42.343542,-91.2471,OIL,7.0,0.077
2573,IA,Indianola,41.359491,-93.56326800000001,OIL,54.8,-0.703
2574,IA,Intrepid,42.5539,-95.3283,WIND,175.5,537.302
2575,IA,Iowa Distributed Wind Generation Project,43.034721999999995,-94.140556,WIND,2.3,5.465
2576,IA,Iowa Hydro LLC,42.069987,-90.69765699999999,HYDRO,1.2,6.31
2577,IA,Iowa Lakes Community College Wind Farm,43.385346999999996,-94.815655,WIND,1.0,3.53133
2578,IA,Iowa Lakes Superior Wind Farm,43.445,-94.980278,WIND,10.5,43.099
2579,IA,Iowa Methodist Medical Center,41.5894,-93.635,OIL,3.5,0.0
2580,IA,Iowa State University,42.0275,-93.6394,COAL,49.0,114.848
