,state,name,lat,lon,type,capacity(MW),production (GWh)
2718,ID,Albeni Falls,48.180245,-116.99859,HYDRO,42.0,160.597
2719,ID,Amalgamated Sugar LLC Nampa,43.6058,-116.5753,COAL,8.7,39.954
2720,ID,Amalgamated Sugar Twin Falls,42.5328,-114.4328,GAS,10.2,46.019498
2721,ID,American Falls,42.7778,-112.8764,HYDRO,92.4,264.207
2722,ID,American Falls Solar,42.824,-112.75200000000001,SOLAR,20.0,0.0
2723,ID,American Falls Solar II,42.824,-112.75200000000001,SOLAR,20.0,0.0
2724,ID,Anderson Ranch,43.357065999999996,-115.451517,HYDRO,40.0,86.29899999999999
2725,ID,Arrowrock Hydroelectric Project,43.595,-115.9233,HYDRO,15.0,72.661
2726,ID,Ashton,44.07863,-111.497326,HYDRO,6.7,32.826
2727,ID,Bannock County LFG to Energy,42.787778,-112.36555600000001,BIOMASS,1.6,4.838
2728,ID,Barber Dam,43.561001,-116.121269,HYDRO,4.1,10.35
2729,ID,Bennett Creek Windfarm LLC,43.0536,-115.4803,WIND,21.0,44.718999999999994
2730,ID,Bennett Mountain Power Project,43.147153,-115.66663700000001,GAS,392.8,70.483
2731,ID,Big Sky Dairy Digester,42.8656,-114.7914,BIOMASS,1.6,8.744
2732,ID,Birch Creek Power,44.027444,-112.719439,HYDRO,2.6,13.21
2733,ID,Black Canyon,43.930462,-116.437172,HYDRO,22.7,63.647
2734,ID,Blind Canyon Hydro,42.69984,-114.822603,HYDRO,1.3,3.366
2735,ID,Bliss,42.913786,-115.070986,HYDRO,75.0,301.557
2736,ID,Boise R Diversion,43.537684999999996,-116.093756,HYDRO,4.8,7.037999999999999
2737,ID,Brownlee,44.8367,-116.8975,HYDRO,585.4,1917.445
2738,ID,Burley Butte Windpark,42.490341,-113.92660500000001,WIND,13.5,61.263000000000005
2739,ID,Bypass,42.560876,-114.057461,HYDRO,9.9,27.052
2740,ID,BYUI Central Energy Facility,43.816944,-111.78583300000001,GAS,5.6,0.0
2741,ID,C J Strike,42.944869,-115.97785800000001,HYDRO,82.8,366.278
2742,ID,Cabinet Gorge,48.084444,-116.05305600000001,HYDRO,265.2,1194.48
2743,ID,Camp Reed,42.811944,-115.04888899999999,WIND,22.5,66.813
2744,ID,Cargill B6 Biofactory,42.7167,-114.6167,BIOMASS,2.2,9.48248
2745,ID,Cargill Dry Creek Biofactory,42.4183,-114.2292,BIOMASS,2.4,13.463
2746,ID,Cargill Kettle Butte Biofactory,43.631944,-112.27972199999999,BIOMASS,1.8,7.7184800000000005
2747,ID,Cascade Dam,44.5256,-116.0483,HYDRO,12.4,43.078
2748,ID,Cassia Gulch Wind Park LLC,42.8744,-115.0172,WIND,18.9,45.077
2749,ID,Cassia Wind Farm LLC,42.8444,-115.0369,WIND,10.5,26.647
2750,ID,Chester Diversion Hydroelectric Project,44.018333,-111.583611,HYDRO,3.6,4.121
2751,ID,City Power Plant,43.491398,-112.04541,HYDRO,8.0,42.551
2752,ID,Clark 1 Solar,43.269964,-115.880692,SOLAR,71.0,0.0
2753,ID,Clark 2 Solar,43.289681,-115.937475,SOLAR,20.0,0.0
2754,ID,Clark 3 Solar,43.313475,-115.835311,SOLAR,30.0,0.0
2755,ID,Clark 4 Solar,43.288996999999995,-115.93020600000001,SOLAR,20.0,0.0
2756,ID,Clear Lake,42.66701,-114.78012,HYDRO,2.5,16.963
2757,ID,Clearwater Paper IPP Lewiston,46.423056,-116.97638899999998,BIOMASS,113.8,379.869002
2758,ID,Cold Springs Windfarm,43.028056,-115.400469,WIND,23.0,53.793
2759,ID,Cove,42.514444,-111.79305500000001,HYDRO,7.5,0.0
2760,ID,Crystal Springs,42.622513,-114.50093000000001,HYDRO,2.3,10.543
2761,ID,Desert Meadow Windfarm,43.056622,-115.452025,WIND,23.0,62.68
2762,ID,Dietrich Drop,42.836046,-114.26795200000001,HYDRO,4.8,15.142000000000001
2763,ID,Double A Digester,42.717222,-114.616666,BIOMASS,4.5,27.305
2764,ID,Dry Creek Project,44.027444,-112.719439,HYDRO,3.6,7.718999999999999
2765,ID,Dworshak,46.5143,-116.2977,HYDRO,400.0,1744.6689999999999
2766,ID,El Dorado Hydro Elk Creek,45.217784,-116.31577,HYDRO,2.6,4.2
2767,ID,Evander Andrews Power Complex,43.179176,-115.734315,GAS,270.9,55.192
2768,ID,Falls River Hydro,44.0597,-111.3535,HYDRO,9.0,54.155
2769,ID,Fargo Drop,43.625,-116.899722,HYDRO,1.1,3.487
2770,ID,Felt,43.913476,-111.28331899999999,HYDRO,6.9,32.313
2771,ID,Felt Hydroelectric Plant,43.909653000000006,-111.285421,HYDRO,7.4,32.316
