,state,name,lat,lon,type,capacity(MW),production (GWh)
2864,IL,1515 S Caron Road,41.9084,-89.0466,GAS,4.2,0.17800000000000002
2865,IL,Adkins Energy LLC,42.362221999999996,-89.803611,GAS,5.0,26.153000000000002
2866,IL,Agriwind LLC,41.3017,-89.6236,WIND,8.4,6.271
2867,IL,Alsey Station,39.569771,-90.43602,GAS,125.0,2.417
2868,IL,Altamont,39.0,-88.75,OIL,7.2,0.098
2869,IL,Archer Daniels Midland Co.,39.870074,-88.89075600000001,COAL,335.0,1168.743005
2870,IL,Archer Daniels Midland Co. - Peoria,40.677188,-89.604911,GAS,64.0,189.007
2871,IL,Archer Daniels Midland Taylorville,39.599722,-89.3,GAS,4.6,0.0
2872,IL,Aurora,41.8151,-88.2265,GAS,1275.0,49.707
2873,IL,Avenue A Generator Sets,41.780735,-89.68941600000001,OIL,3.6,0.11699999999999999
2874,IL,Avon Energy Partners LLC,41.6742,-87.5786,BIOMASS,3.3,0.0
2875,IL,Baldwin Energy Complex,38.205,-89.8544,COAL,1894.1,11701.58757
2876,IL,Beecher Gas Recovery,41.6336,-87.6011,BIOMASS,3.3,4.3469999999999995
2877,IL,Big Sky Wind LLC,41.599167,-89.45611099999999,WIND,240.0,537.021
2878,IL,Biodyne Congress,41.8717,-87.8861,BIOMASS,15.0,0.0
2879,IL,Biodyne Lansing,41.586389000000004,-87.553888,0,2.0,0.0
2880,IL,Biodyne Lyons,41.7989,-87.825,BIOMASS,4.5,0.0
2881,IL,Biodyne Peoria,40.7942,-89.8436,BIOMASS,4.0,0.0
2882,IL,Biodyne Springfield,39.856389,-89.619444,BIOMASS,3.0,0.0
2883,IL,Bishop Hill Energy LLC,41.215278000000005,-90.12083299999999,WIND,200.0,647.15
2884,IL,Bishop Hill II Wind Farm,41.2325,-90.17416700000001,WIND,81.0,300.267
2885,IL,Blackstone Wind Farm II LLC,41.1406,-88.53,WIND,200.0,529.552
2886,IL,Blackstone Wind Farm III,41.095278,-88.583611,WIND,200.0,0.0
2887,IL,Blackstone Wind Farm IV,41.044444,-88.57,WIND,100.0,0.0
2888,IL,Blackstone Wind Farm LLC,41.1508,-88.6233,WIND,102.0,272.134
2889,IL,Bloom,42.057221999999996,-87.869444,OIL,152.0,0.0
2890,IL,BNWRD,40.380556,-88.960278,OIL,2.0,0.001
2891,IL,BP Naperville Cogeneration Facility,41.8108,-88.1486,GAS,8.3,37.317
2892,IL,Braidwood Generation Station,41.2435,-88.2286,NUCLEAR,2449.8,20263.665
2893,IL,Breese,38.607456,-89.524514,OIL,18.9,0.20800000000000002
2894,IL,Brickyard Energy Partners LLC,40.1003,-87.6111,BIOMASS,4.4,13.687999999999999
2895,IL,Brown County Wind Turbine,39.973333000000004,-90.699166,WIND,1.5,3.415
2896,IL,Bunge Oil,41.15461,-87.85478,GAS,3.5,19.877
2897,IL,Bushnell,40.5483,-90.5408,OIL,10.8,0.501
2898,IL,Byron Generating Station,42.0742,-89.2819,NUCLEAR,2449.8,19252.381
2899,IL,California Ridge Wind Energy LLC,40.211667,-87.878333,WIND,217.0,790.8580000000001
2900,IL,Calumet,41.713611,-87.542778,GAS,278.4,0.0
2901,IL,"Calumet Energy Team, LLC",41.6835,-87.5563,GAS,312.8,124.426
2902,IL,Camp Grove Wind Farm,41.090583,-89.639811,WIND,150.0,419.04
2903,IL,Carlyle,38.6106,-89.3583,OIL,12.5,0.012740000000000001
2904,IL,Carmi,38.0967,-88.1631,OIL,17.4,0.214
2905,IL,Casey City of,39.310555,-87.992592,OIL,5.4,0.09
2906,IL,Charter Dura-Bar,42.3142,-88.4561,GAS,6.0,6.086
2907,IL,Chicago West Side Energy Center,41.870751,-87.67837800000001,GAS,3.5,18.755
