,state,name,lat,lon,type,capacity(MW),production (GWh)
3262,KS,ABBK Biomass Plant,37.180833,-101.386667,GAS,21.9,-20.944997
3263,KS,Abilene Energy Center Combustion Turbine,38.8831,-97.201389,GAS,77.0,0.0
3264,KS,Alexander Wind Farm LLC,38.424721999999996,-99.5075,WIND,48.3,0.0
3265,KS,Anthony,37.1517,-98.0311,GAS,11.1,0.7859999999999999
3266,KS,Archer Daniels Midland Fredonia,37.5,-95.8,0,4.1,0.0
3267,KS,Arkalon Ethanol LLC,37.110556,-100.803611,GAS,3.0,3.926
3268,KS,Ashland,37.193787,-99.76307299999999,OIL,6.8,0.098
3269,KS,Augusta Electric Plant No 1,37.678453999999995,-96.97193,0,9.5,-0.258
3270,KS,Augusta Electric Plant No 2,37.6811,-96.9817,GAS,20.7,-0.569
3271,KS,Baldwin City Plant No 1,38.7897,-95.205,OIL,5.3,0.038
3272,KS,Baldwin City Plant No 2,38.764905,-95.192006,OIL,6.4,0.114
3273,KS,Belleville,39.8081,-97.6505,OIL,15.8,0.305
3274,KS,Beloit,39.4578,-98.1122,OIL,19.3,1.148
3275,KS,Bird City,39.7581,-101.5319,OIL,4.0,0.0
3276,KS,Bonanza BioEnergy LLC,37.958611,-100.836111,GAS,2.0,4.345
3277,KS,Buckeye Wind Energy Center,39.003873,-99.4142,WIND,201.7,0.0
3278,KS,Buffalo Dunes Wind Project,37.620833000000005,-101.076111,WIND,249.8,817.092
3279,KS,Burlingame,38.7633,-95.8528,GAS,4.5,0.035
3280,KS,Burlington (KS),38.193179,-95.74951,GAS,12.8,0.10388
3281,KS,Caney River Wind Project,37.46,-96.42,WIND,200.0,744.546
3282,KS,Central Plains Wind Farm,38.503167,-101.161472,WIND,99.0,293.767
3283,KS,Chanute 1,37.683333000000005,-95.454722,GAS,15.7,0.0
3284,KS,Chanute 2,37.6953,-95.4586,GAS,64.0,2.622
3285,KS,Chanute 3,37.6376,-95.4704,GAS,34.8,1.248
3286,KS,Cimarron River,37.1611,-100.7619,GAS,65.0,29.818
3287,KS,Cimarron Wind Energy LLC,37.873889,-100.280277,WIND,165.6,719.895
3288,KS,Cimarron Windpower II,37.90133,-100.37200000000001,WIND,131.0,570.0
3289,KS,Clay Center,39.373965999999996,-97.127211,GAS,31.4,0.0
3290,KS,Clifton,39.6125,-97.2778,GAS,87.5,2.26
3291,KS,Cloud County Wind Farm,39.4375,-97.6644,WIND,201.0,651.906
3292,KS,CML&P Generating Facility No. 2,37.092977000000005,-95.585154,GAS,56.1,0.0
