,state,name,lat,lon,type,capacity(MW),production (GWh)
3809,MD,AES Warrior Run,39.595171,-78.745333,COAL,229.0,1265.667026
3810,MD,AES Warrior Run Energy Storage Project,39.593075,-78.745333,OTHF,11.0,0.0
3811,MD,Alpha Ridge LFG,39.305,-76.901944,BIOMASS,1.0,6.662999999999999
3812,MD,Back River Waste Water Treatment,39.299721999999996,-76.494167,BIOMASS,3.0,7.556
3813,MD,Berlin,38.3361,-75.1919,OIL,21.5,-0.21
3814,MD,Brandon Shores,39.18,-76.5389,COAL,1370.0,4758.9820310000005
3815,MD,Brandywine Power Facility,38.6681,-76.8678,GAS,288.8,955.013497
3816,MD,Brown Station Road Plant I,38.8228,-76.7722,BIOMASS,2.7,3.1066
3817,MD,Brown Station Road Plant II,38.8403,-76.7764,BIOMASS,4.0,5.611000000000001
3818,MD,C P Crane,39.323603999999996,-76.36511899999999,COAL,415.8,494.127003
3819,MD,Calvert Cliffs Nuclear Power Plant,38.4344,-76.4417,NUCLEAR,1828.7,14343.333999999999
3820,MD,Central Utility Plant at White Oak,39.039444,-76.9825,GAS,54.3,86.14102
3821,MD,Chalk Point,38.5444,-76.6861,COAL,2647.0,2973.630957
3822,MD,Chimes West Friendship (Nixon Farms),39.296749,-76.957413,SOLAR,1.5,0.0
3823,MD,CNE at Cambridge MD,38.5158,-76.0192,SOLAR,3.2,0.0
3824,MD,Conowingo,39.6572,-76.1752,HYDRO,530.8,1594.6470000000002
3825,MD,Cove Point LNG Terminal,38.385456,-76.409796,GAS,228.6,129.703
3826,MD,CPV St Charles Energy Center,38.5686,-76.8919,GAS,746.0,0.0
3827,MD,Crisfield,37.9833,-75.8333,OIL,11.6,2.2430000000000003
3828,MD,Criterion Wind Project,39.4047,-79.29,WIND,70.0,174.59799999999998
3829,MD,Deep Creek,39.523,-79.413,HYDRO,20.0,20.875999999999998
3830,MD,Dickerson,39.2097,-77.4644,COAL,933.0,1266.926984
3831,MD,Domino Sugar Baltimore,39.2744,-76.5956,GAS,20.0,49.268
3832,MD,Eastern Correctional Institute,38.159,-75.704,BIOMASS,5.8,12.398
3833,MD,Eastern Landfill Gas LLC,39.3908,-76.4042,BIOMASS,3.0,6.827999999999999
3834,MD,Easton,38.7786,-76.0769,OIL,33.6,4.961
3835,MD,Easton 2,38.795,-76.07,OIL,38.8,6.811
3836,MD,Fair Wind Power,39.324166999999996,-79.388611,WIND,30.0,0.0
3837,MD,FC Landfill Energy,39.367778,-77.348888,BIOMASS,2.2,6.099
3838,MD,FedEx Field Solar Facility,38.907778,-76.86444399999999,SOLAR,2.0,2.16315
3839,MD,Fourmile Ridge,39.641110999999995,-79.011111,WIND,40.0,0.0
3840,MD,Frederick-Carroll County Renewable Waste,39.359167,-77.415278,BIOMASS,56.0,0.0
3841,MD,General Motors Corp at White Marsh MD,39.3716,-76.4405,SOLAR,1.0,1.624
3842,MD,Goddard Steam Plant,38.586849,-77.173135,OIL,12.4,24.370496
3843,MD,Gould Street,39.2663,-76.6047,GAS,103.5,17.572
3844,MD,Great Bay Solar 1,38.168889,-75.6975,SOLAR,150.0,0.0
3845,MD,Great Bay Wind Energy Center,38.12,-75.7275,WIND,150.0,0.0
3846,MD,Green Machine,39.108889000000005,-76.771389,GAS,1.7,11.382
3847,MD,Harford Waste to Energy Facility,39.403936,-76.317161,BIOMASS,1.2,0.8167399999999999
3848,MD,Herbert A Wagner,39.1781,-76.5268,COAL,1058.5,1379.382043
3849,MD,Herbert Farm Solar,38.545556,-76.799444,SOLAR,5.5,8.544
3850,MD,IKEA College Park 411,39.021,-76.926,SOLAR,1.0,1.4751
3851,MD,IKEA Perryville 460,39.560833,-76.055278,SOLAR,2.1,2.09187
3852,MD,Inner Harbor East Heating,39.2833,-76.5,GAS,2.1,0.003
3853,MD,Kent County - Worton Complex,39.280833,-76.09083299999999,SOLAR,1.0,1.7469999999999999
3854,MD,Kent County-Kennedyville,39.297222,-75.982222,SOLAR,1.0,1.733
3855,MD,Luke Paper Company,39.4736,-79.0569,COAL,65.0,300.360004
3856,MD,Maryland Solar,39.563056,-77.72027800000001,SOLAR,27.0,36.084
3857,MD,Mattawoman Energy Center,38.692496999999996,-76.842151,GAS,1008.0,0.0
3858,MD,McCormick & Co. Inc. at Belcamp,39.4836,-76.2292,SOLAR,1.4,2.332
3859,MD,Millersville LFG,39.084722,-76.676389,BIOMASS,3.2,26.441
3860,MD,Montgomery County Oaks LFGE Plant,39.1833,-77.1167,BIOMASS,8.0,16.392
3861,MD,Montgomery County Resource Recovery,39.2006,-77.4556,BIOMASS,67.8,318.090995
3862,MD,Morgantown,38.3592,-76.9767,COAL,1548.0,6181.301015999999
3863,MD,Mount Saint Mary's,39.675,-77.345,SOLAR,13.7,23.18
3864,MD,NIH Cogeneration Facility,39.0,-77.0939,GAS,22.0,148.774
3865,MD,Notch Cliff,39.4217,-76.5087,GAS,144.0,7.43
3866,MD,Pea Patch Wind Farm,39.572222,-79.138889,WIND,50.0,0.0
3867,MD,Perdue Salisbury Photovoltaic,38.373611,-75.535278,SOLAR,1.0,1.6059999999999999
3868,MD,Perryman,39.442836,-76.221761,GAS,545.4,116.87
3869,MD,Philadelphia,39.2986,-76.5636,OIL,82.8,13.387
3870,MD,Queen Anne's County,39.031667,-76.016389,SOLAR,2.0,2.72646
3871,MD,R. Paul Smith Power Station,39.595,-77.82694000000001,COAL,109.5,0.0
3872,MD,Riverside,39.2369,-76.5133,GAS,257.2,22.493000000000002
3873,MD,Rock Hall,39.15,-76.23,SOLAR,1.0,1.806
3874,MD,Rock Springs Generating Facility,39.71901,-76.15975999999999,GAS,1162.6,317.28700000000003
3875,MD,Rockfish Solar LLC,38.591545,-76.87486,SOLAR,10.3,0.0
3876,MD,"Roth Rock North Wind Farm, LLC",39.287222,-79.434444,WIND,10.0,27.941999999999997
3877,MD,Roth Rock Wind Farm LLC,39.254444,-79.46722199999999,WIND,40.0,111.79799999999999
3878,MD,Smith Island,37.9933,-76.0353,OIL,1.7,0.154
3879,MD,UMCP CHP Plant,38.985844,-76.935478,GAS,27.4,150.724001
3880,MD,UMES (MD) - Princess Anne,38.20257,-75.6764,SOLAR,2.2,0.0
3881,MD,UMMS at Pocomoke,38.098056,-75.611111,SOLAR,2.8,4.792
3882,MD,Vienna,38.4878,-75.8208,OIL,180.6,15.583
3883,MD,Westport,39.2719,-76.6186,GAS,121.5,6.204
3884,MD,Wheelabrator Baltimore Refuse,39.266040999999994,-76.629653,BIOMASS,64.5,323.094
3885,MD,Wicomico,38.3847,-75.6344,BIOMASS,5.4,14.708
3886,MD,Wildcat Point Generation Facility,39.719364,-76.161625,GAS,1113.6,0.0
