,state,name,lat,lon,type,capacity(MW),production (GWh)
3887,ME,Androscoggin 3,44.135332,-70.201499,HYDRO,3.6,31.136
3888,ME,Androscoggin Energy,44.506315,-70.242312,GAS,163.5,414.805996
3889,ME,Androscoggin Mill,44.506273,-70.239474,BIOMASS,80.0,437.74599400000005
3890,ME,Anson Abenaki Hydros,44.7975,-69.8867,GAS,32.0,137.0263
3891,ME,Aziscohos Hydroelectric Project,44.9439,-70.9975,HYDRO,6.7,32.025
3892,ME,Bangor Pacific Hydro,45.2497,-68.6483,HYDRO,13.0,99.639
3893,ME,Bar Harbor,44.3817,-68.2869,OIL,8.0,0.163
3894,ME,Bar Mills,43.6136,-70.5525,HYDRO,4.0,11.522
3895,ME,Barker Lower,44.0867,-70.2297,HYDRO,1.5,5.90139
3896,ME,Basin Mills,44.875,-68.673055,HYDRO,36.0,0.0
3897,ME,Bates Mill Upper,44.095876000000004,-70.219009,HYDRO,3.9,0.0
3898,ME,Beaver Ridge Wind,44.4967,-69.35,WIND,4.5,11.832
3899,ME,Benton Falls Associates,44.580175,-69.55452,HYDRO,4.2,19.528
3900,ME,Bingham Wind,45.103333,-69.761944,WIND,186.0,0.0
3901,ME,Bonny Eagle,43.687688,-70.611553,HYDRO,7.2,47.051
3902,ME,Bowers Wind Project,45.414444,-68.038055,WIND,48.0,0.0
3903,ME,Brassua Hydroelectric Project,45.6603,-69.812168,HYDRO,3.6,15.548
3904,ME,Brunswick Hydro,43.920486,-69.96781899999999,HYDRO,19.6,99.631
3905,ME,Bucksport Generation LLC,44.5738,-68.8046,GAS,298.4,813.860998
3906,ME,Bull Hill Wind Project,44.723056,-68.2425,WIND,34.5,117.098
3907,ME,Canton Mountain Wind,44.514722,-70.30305600000001,WIND,22.8,0.0
3908,ME,Cape Gas Turbine,43.6436,-70.2544,OIL,35.0,1.841
3909,ME,Caribou Generation Station,46.848,-68.0026,HYDRO,27.4,4.413
3910,ME,Cataract Hydro,43.4956,-70.4472,HYDRO,6.6,37.579
3911,ME,Charles E Monty,44.099461,-70.220851,HYDRO,28.4,152.599
3912,ME,Continental Mills,44.092001,-70.221923,HYDRO,1.4,0.0
3913,ME,Deer Rips,44.134572,-70.203715,HYDRO,6.5,37.602
3914,ME,Domtar - Woodland Mill,45.1554,-67.4012,GAS,68.3,384.076997
3915,ME,East Millinocket Mill,45.6219,-68.5756,BIOMASS,61.4,0.0
3916,ME,Eastern Maine Medical Center,44.808333000000005,-68.750833,GAS,3.8,25.151999999999997
3917,ME,Eastport,44.9136,-67.0033,OIL,4.0,0.187
3918,ME,Ellsworth Hydro Station,44.5442,-68.4306,HYDRO,8.9,35.708
3919,ME,Flos Inn Diesel,46.71,-67.9556,OIL,6.0,0.0
3920,ME,Fort Halifax,44.538610999999996,-69.62777700000001,HYDRO,1.4,0.0
3921,ME,Fox Island Wind LLC,44.094167,-68.865833,WIND,4.5,11.615
3922,ME,Gardiner,44.221796000000005,-69.785675,HYDRO,1.0,6.73893
3923,ME,Geneva Wood Fuels Inc,44.8061,-70.2186,BIOMASS,2.0,0.0
