,state,name,lat,lon,type,capacity(MW),production (GWh)
4003,MI,48th Street Peaking Station,42.7553,-86.0853,GAS,161.7,14.985
4004,MI,Ada Cogeneration LP,42.962672,-85.49407099999999,GAS,33.1,202.987
4005,MI,Ada Dam,42.950641999999995,-85.48594399999999,HYDRO,1.4,6.617999999999999
4006,MI,Adrian Energy Associates LLC,41.8992,-84.0411,BIOMASS,2.4,14.44
4007,MI,Alcona,44.561961,-83.804505,HYDRO,8.0,30.711
4008,MI,Allegan Dam,42.563803,-85.953976,HYDRO,2.6,13.444
4009,MI,Alpine Power Plant,45.063748,-84.82534799999999,GAS,453.8,0.0
4010,MI,Apple Blossom Wind Farm,43.848333000000004,-83.306944,WIND,100.0,0.0
4011,MI,B C Cobb,43.258767999999996,-86.24226800000001,COAL,519.6,1888.6800079999998
4012,MI,B E Morrow,42.280221999999995,-85.492548,GAS,36.0,0.0
4013,MI,Battle Creek Mill,42.315833000000005,-85.186944,GAS,4.0,2.915
4014,MI,Bay Windpower I,45.7644,-84.7381,WIND,1.8,2.406
4015,MI,Beaver Island,45.5986,-85.5261,OIL,3.3,0.075
4016,MI,Beebe 1B,43.256944,-84.49972199999999,WIND,50.4,0.0
4017,MI,Beebe Renewable Energy LLC,43.256944,-84.49972199999999,WIND,81.6,205.37
4018,MI,Belle River,42.7756,-82.495,COAL,1664.4,7791.593970999999
4019,MI,Berrien Springs,41.9439,-86.3289,HYDRO,7.2,31.826999999999998
4020,MI,Big Quinnesec 61,45.7881,-88.0408,HYDRO,4.4,2.285
4021,MI,Big Quinnesec 92,45.7881,-88.0408,HYDRO,16.0,104.831
4022,MI,"Big Turtle Wind Farm, LLC",43.850833,-82.7825,WIND,20.0,3.3089999999999997
4023,MI,Blue Water Renewables Inc,42.91577,-82.594507,BIOMASS,3.2,24.736
4024,MI,Brent Run Generating Station,43.1767,-83.9,BIOMASS,2.2,41.367
4025,MI,Brookfield,43.757778,-83.29777800000001,WIND,74.8,185.187
4026,MI,Buchanan (MI),41.839566,-86.35105,HYDRO,4.4,17.973
4027,MI,C W Tippy,44.259135,-85.939565,HYDRO,20.1,68.329
4028,MI,Cadillac Renewable Energy,44.26169,-85.435224,BIOMASS,44.0,175.312004
4029,MI,Cargill Salt,42.8183,-82.4856,COAL,3.9,10.7379
4030,MI,Cargill Salt Hersey,43.834167,-85.35583299999999,GAS,2.1,5.06049
4031,MI,Caro,43.4878,-83.3881,OIL,9.4,0.0
4032,MI,Cascade Dam,42.909408,-85.49888,HYDRO,1.6,8.29
4033,MI,Cataract (MI),46.3156,-87.5128,HYDRO,2.0,0.0
4034,MI,Central Michigan University,43.5969,-84.7669,GAS,4.8,33.14445
4035,MI,Chalk Hill,45.5136,-87.8011,HYDRO,7.8,37.223
4036,MI,Chatham,42.934444,-85.3475,GAS,7.3,0.049980000000000004
4037,MI,Cheboygan,45.637537,-84.481387,HYDRO,1.5,6.487
4038,MI,Claude Vandyke,42.731,-85.8551,GAS,51.3,0.5479999999999999
4039,MI,Clinton,42.0725,-83.9714,GAS,4.2,-0.062
4040,MI,Coldwater,41.932216,-84.99545,0,12.7,0.0
4041,MI,Coldwater Peaking Plant,41.919444,-85.024167,GAS,12.9,0.0
4042,MI,Colfax,42.658653,-84.09518100000001,OIL,13.5,0.071
4043,MI,Conners Creek,42.3592,-82.9597,0,275.4,0.0
4044,MI,Constantine,41.8436,-85.6694,HYDRO,1.2,5.138999999999999
4045,MI,Cooke,44.472623999999996,-83.571947,HYDRO,9.0,29.612
4046,MI,Cross Winds Energy Park,43.610278,-83.485556,WIND,111.0,21.389
4047,MI,Croswell,43.272222,-82.6139,OIL,5.1,0.0
4048,MI,Croton,43.437321999999995,-85.664462,HYDRO,8.9,25.964000000000002
4049,MI,Crystal Falls,46.106278,-88.33453100000001,HYDRO,1.0,5.252000000000001
4050,MI,Dafter,46.3292,-84.3847,OIL,9.0,0.217
4051,MI,Dan E Karn,43.644996,-83.840074,COAL,1946.3,2048.50596
4052,MI,Dayton (MI),42.1758,-83.5336,OIL,10.0,0.0
4053,MI,Dearborn Industrial Generation,42.3026,-83.154,GAS,760.0,2715.80902
4054,MI,Decorative Panels Intl,45.062836,-83.423333,COAL,7.5,48.79600000000001
4055,MI,Delray,42.2947,-83.1019,GAS,142.2,12.639000000000001
