,state,name,lat,lon,type,capacity(MW),production (GWh)
4768,NC,4Oaks,35.4325,-78.41166700000001,SOLAR,5.0,0.0
4769,NC,510 REPP One,36.4972,-77.6058,SOLAR,1.3,0.387
4770,NC,Ahoskie,36.306369000000004,-76.993138,SOLAR,5.0,0.0
4771,NC,Albemarle Hospital Unit,35.3636,-80.1939,OIL,1.8,0.07200000000000001
4772,NC,Albemarle Prime Power Park,35.4039,-80.16,OIL,3.6,0.091
4773,NC,Albemarle Solar Center LLC,35.293056,-77.556944,SOLAR,5.0,0.002
4774,NC,Albertson Solar LLC,35.093021,-77.812667,SOLAR,5.0,0.0
4775,NC,AM Best Farm,35.418889,-77.985556,SOLAR,5.0,9.102
4776,NC,American Legion PV 1,36.418333000000004,-77.655833,SOLAR,20.0,0.0
4777,NC,Amethyst Solar,35.316944,-81.926389,SOLAR,3.0,0.0
4778,NC,Anderson Farm LLC,34.975556,-78.516667,SOLAR,1.9,0.499
4779,NC,Andrew Solar,35.1608,-77.1099,SOLAR,5.0,0.0
4780,NC,Angel Solar,35.651111,-81.208611,SOLAR,5.0,0.0
4781,NC,Angier Farm,35.516389000000004,-78.75,SOLAR,5.0,8.232999999999999
4782,NC,Angus Holdings,35.025556,-78.108333,SOLAR,5.0,0.0
4783,NC,Apple Data Center - Fuel Cell 1&2,35.588333,-81.266667,BIOMASS,10.5,66.206
4784,NC,Apple Data Center - PV2,35.738889,-81.207778,SOLAR,20.0,39.812
4785,NC,Apple Data Center PV,35.588135,-81.25198,SOLAR,21.0,36.854
4786,NC,Apple Data Center PV3,35.715,-81.15,SOLAR,17.5,0.0
4787,NC,Apple One,35.629444,-81.156944,SOLAR,5.0,0.0
4788,NC,"Ararat Rock Solar, LLC",36.461110999999995,-80.60055600000001,SOLAR,3.5,6.087999999999999
4789,NC,"Arba Solar, LLC",35.396389,-77.703611,SOLAR,2.0,1.859
4790,NC,Archer Daniels Midland Southport,33.9397,-77.9905,GAS,52.5,0.812
4791,NC,Arndt Farm,35.779167,-81.175556,SOLAR,5.0,9.191
4792,NC,Asheville,35.4731,-82.5417,COAL,837.1,1588.927971
4793,NC,Ashley Solar Farm,36.126111,-80.798889,SOLAR,4.0,0.0
4794,NC,"Aspen Solar, LLC",34.791163,-78.01212199999999,SOLAR,5.0,0.0
4795,NC,Audrey Solar,35.328056,-81.621944,SOLAR,3.0,0.0
4796,NC,Aulander Solar,36.253,-77.081,SOLAR,5.0,0.0
4797,NC,Austin Solar,35.613889,-81.132222,SOLAR,2.0,0.0
4798,NC,Avalon/Mayo Hydropower,36.423715,-79.952494,HYDRO,1.2,4.118
4799,NC,Ayrshire,35.283056,-81.615278,SOLAR,19.4,0.0
4800,NC,Bailey Farm LLC,35.7875,-78.13972199999999,SOLAR,5.0,9.386000000000001
