,state,name,lat,lon,type,capacity(MW),production (GWh)
5314,ND,American Crystal Sugar Drayton,48.593158,-97.17608,COAL,6.0,0.0
5315,ND,American Crystal Sugar Hillsboro,47.437562,-97.06311,COAL,13.3,59.633669999999995
5316,ND,Antelope Valley,47.370542,-101.83566,COAL,869.8,5838.431047
5317,ND,Ashtabula Wind Energy Center,47.1244,-97.8961,WIND,48.0,169.562
5318,ND,Ashtabula Wind II LLC,47.292437,-97.931692,WIND,120.0,414.44599999999997
5319,ND,Ashtabula Wind III LLC,47.1242,-97.8956,WIND,62.4,228.55
5320,ND,Baldwin Wind LLC,47.1133,-100.7086,WIND,102.4,407.046
5321,ND,Bison 2 Wind Energy Center,46.98,-101.554722,WIND,105.0,324.08799999999997
5322,ND,Bison 3 Wind Energy Center,46.98,-101.554722,WIND,105.0,326.72700000000003
5323,ND,Bison 4 Wind Energy Center,46.98,-101.554722,WIND,205.0,0.0
5324,ND,Bison I Wind Energy Center,46.98,-101.554722,WIND,79.5,269.839
5325,ND,Border Winds Wind Farm,48.964721999999995,-99.613889,WIND,150.0,0.0
5326,ND,Cedar Hills Wind Farm,46.245556,-103.767222,WIND,19.5,59.42
5327,ND,Coal Creek,47.377743,-101.15705799999999,COAL,1211.6,8880.797962999999
5328,ND,Courtenay Wind Farm,47.179722,-98.59472199999999,WIND,200.0,0.0
5329,ND,Coyote,47.221447,-101.815722,COAL,450.0,2745.038039
5330,ND,Dakota Magic,45.938611,-96.835833,OIL,1.5,0.0
5331,ND,Enderlin,46.6144,-97.5765,BIOMASS,9.8,2.6519999999999997
5332,ND,FPL Energy Ashtabula Wind LLC,47.1294,-97.8853,WIND,148.5,532.197
5333,ND,FPL Energy Burleigh County Wind,47.1167,-100.7333,WIND,49.5,171.19
5334,ND,FPL Energy North Dakota Wind I/II,46.327169,-98.898356,WIND,61.5,179.61599999999999
5335,ND,FPL Energy Oliver Wind I LLC,47.152846999999994,-101.197716,WIND,50.6,180.425
5336,ND,FPL Energy Oliver Wind II LLC,47.152846999999994,-101.197716,WIND,48.0,185.523
5337,ND,Garrison,47.4945,-101.4115,HYDRO,614.0,2531.36
5338,ND,Glen Ullin Station 6,46.8214,-101.7564,OTHF,5.3,31.44
5339,ND,Grafton,48.4108,-97.4158,OIL,4.0,0.0
5340,ND,Grand Forks,47.9383,-97.935,OIL,10.6,0.0
5341,ND,Harwood,46.9986,-96.9975,OIL,4.8,0.0
5342,ND,Hillsboro,47.396944,-97.06055500000001,OIL,4.0,0.05
5343,ND,Jamestown,46.905665,-98.662183,OIL,48.2,0.77
5344,ND,Kindred School,46.6494,-97.6431,OIL,2.0,0.109
5345,ND,Langdon Wind  LLC,48.63,-98.315,WIND,159.0,432.923
5346,ND,Langdon Wind Energy Center,48.6303,-98.3169,WIND,40.5,152.876
5347,ND,Langdon Wind II LLC,48.6292,-98.3164,WIND,40.5,143.101
5348,ND,Leland Olds,47.280769,-101.321213,COAL,656.0,3453.4550159999994
5349,ND,"Lindahl Wind Project, LLC",0.0,0.0,WIND,150.0,0.0
5350,ND,Lonesome Creek Station,47.796667,-103.57861,GAS,302.5,98.962
5351,ND,Luverne Wind Farm,47.3272,-97.8975,WIND,49.5,180.892
5352,ND,Meadowlark Wind,47.861531,-100.947664,WIND,99.0,0.0
5353,ND,Merricourt Wind Project,0.0,0.0,WIND,150.0,0.0
5354,ND,Milton R Young,47.065853999999995,-101.213093,COAL,734.0,4557.992024
5355,ND,Minot Wind Project,48.021271,-101.280517,WIND,7.1,0.0
5356,ND,Pioneer Generating Station,48.2325,-103.95278,GAS,293.1,110.65299999999999
5357,ND,Portable Generator 1,47.833333,-103.64361099999999,OIL,1.8,0.008
5358,ND,Portable Generator 2,48.145,-103.6375,OIL,2.0,0.003
5359,ND,Portable Generator 3,48.145,-103.6375,OIL,2.0,0.002
5360,ND,Prairie Winds ND1,47.933621,-101.269189,WIND,115.5,469.379
5361,ND,R M Heskett,46.8669,-100.8836,COAL,203.0,547.268001
5362,ND,Rugby Wind Power Project,48.4968,-99.9513,WIND,149.0,434.19
5363,ND,Spiritwood Station,46.926423,-98.499713,COAL,106.2,32.125
5364,ND,Stanton,47.286643,-101.331908,COAL,191.2,1307.307955
5365,ND,Tatanka Wind Power LLC,45.959325,-98.946325,WIND,180.0,702.923
5366,ND,Tesoro Mandan Cogeneration Plant,46.8492,-100.8808,OTHF,7.5,62.038000000000004
5367,ND,"Thunder Spirit Wind, LLC",46.075,-102.563333,WIND,150.0,0.0
5368,ND,Velva Windfarm LLC,48.083625,-100.9215,WIND,11.9,33.694
5369,ND,Walhalla,48.908944,-97.886521,COAL,2.0,0.0
5370,ND,Williston,48.145,-103.1364,GAS,10.0,0.0
5371,ND,Wilton Wind II LLC,47.1333,-100.7011,WIND,49.5,203.805
