,state,name,lat,lon,type,capacity(MW),production (GWh)
5534,NJ,12 Applegate Solar LLC,40.200278000000004,-74.576111,SOLAR,1.9,2.35
5535,NJ,145 Talmadge Solar,40.535787,-74.39126800000001,SOLAR,3.8,4.524
5536,NJ,180 Raritan Solar,40.516110999999995,-74.34,SOLAR,1.9,2.5839999999999996
5537,NJ,24 Applegate Solar LLC,40.205833,-74.579722,SOLAR,4.9,5.734
5538,NJ,4 Applegate Solar LLC,40.196389,-74.583611,SOLAR,1.8,2.028
5539,NJ,"AC Criminal Courts Complex SPE2, LLC",39.4375,-74.690556,SOLAR,1.3,1.925
5540,NJ,AC Landfill Energy LLC,39.4175,-74.542222,BIOMASS,5.4,15.862
5541,NJ,ACI Energy Partners LLC,39.364722,-74.41555600000001,GAS,7.8,46.522
5542,NJ,Alethea I,40.000556,-74.735,SOLAR,2.8,3.57
5543,NJ,Anheuser-Busch Newark Brewery,40.735833,-74.173055,GAS,13.0,0.0
5544,NJ,Asbury Park Press,40.2233,-74.09,GAS,1.4,0.889
5545,NJ,Atlantic City Convention Center,39.3639,-74.4408,SOLAR,2.0,2.9789999999999996
5546,NJ,Atlantic Coast Freezers Solar Facility,39.518889,-75.023889,SOLAR,2.2,3.342
5547,NJ,B L England,39.2908,-74.6364,COAL,804.6,240.625
5548,NJ,Bayonne Energy Center,40.652834000000006,-74.09155,GAS,512.0,1301.635041
5549,NJ,Bayonne MUA- Leitner-Poma Wind Turbine,40.652778000000005,-74.117778,WIND,1.5,2.021
5550,NJ,"Bayonne Plant Holding, LLC",40.655325,-74.112442,GAS,191.6,680.6587
5551,NJ,Bayville Central Facility,39.909424,-74.17804100000001,OIL,7.7,4.595
5552,NJ,Bayway Refinery,40.637553999999994,-74.22121899999999,OTHF,11.2,102.631
5553,NJ,BBB Corporate Headquarters,40.697222,-74.305,SOLAR,1.0,1.391
5554,NJ,BC Landfill Energy LLC,40.074166999999996,-74.66555600000001,BIOMASS,7.5,43.674
5555,NJ,Bed Bath & Beyond DC Port Reading NJ,40.568333,-74.2425,SOLAR,1.8,2.443
5556,NJ,Benjamin Moore & Co. Solar,40.825556,-74.714722,SOLAR,1.4,2.03
5557,NJ,Bergen,40.8375,-74.0244,GAS,1419.4,5826.523982
5558,NJ,Berry Plastics Solar,40.698333,-75.151944,SOLAR,10.1,15.866
5559,NJ,BlackRock-Matrix,40.3622,-74.4797,SOLAR,2.5,3.6489999999999996
5560,NJ,Bridgeport Disposal Solar Farm,39.7875,-75.350833,SOLAR,1.2,1.91367
5561,NJ,Bristol Myers Squibb Lawrenceville,40.324721999999994,-74.707778,GAS,5.6,33.138000000000005
5562,NJ,Bristol Myers Squibb New Brunswick,40.475724,-74.446199,GAS,10.5,53.798
5563,NJ,Burlington Generating Station,40.076611,-74.879172,GAS,819.0,114.678
5564,NJ,Calpine Vineland Solar LLC,39.4636,-75.0667,SOLAR,4.1,5.513999999999999
5565,NJ,"Camden Plant Holding, LLC",39.9175,-75.1192,GAS,157.0,424.957
5566,NJ,Camden Resource Recovery Facility,39.9092,-75.1169,BIOMASS,35.0,159.285
5567,NJ,Carlls Corner Energy Center,39.4547,-75.2014,GAS,83.8,26.325
5568,NJ,Carneys Point,39.693494,-75.485811,COAL,285.0,918.744001
5569,NJ,Carrier Clinic,40.47,-74.685,SOLAR,1.5,1.99
5570,NJ,CCMUA,39.923056,-75.1275,SOLAR,1.5,2.2880000000000003
5571,NJ,Cedar Energy Station,39.6893,-74.2618,OIL,67.2,2.551
5572,NJ,CentraState Medical Center PV Facility,40.236111,-74.321389,SOLAR,6.3,0.038
5573,NJ,Cherry Hill,39.876111,-75.008611,SOLAR,1.1,1.4176799999999998
5574,NJ,Christmas Tree Shops DC Burlington NJ,40.104167,-74.81277800000001,SOLAR,2.1,2.583
5575,NJ,Cinnamon Bay Edgeboro Landfill,40.465278000000005,-74.393889,BIOMASS,9.6,52.674
