,state,name,lat,lon,type,capacity(MW),production (GWh)
5751,NM,Abiquiu Dam,36.239886,-106.42304299999999,HYDRO,15.6,24.904
5752,NM,Afton Generating Station,32.114185,-106.846483,GAS,464.0,545.74
5753,NM,Alamogordo Solar Energy Center,32.86571,-105.999775,SOLAR,5.0,11.267000000000001
5754,NM,Albuquerque Solar Energy Center,35.168957,-106.60005,SOLAR,2.0,4.458
5755,NM,Algodones,35.384444,-106.46416699999999,GAS,45.0,0.0
5756,NM,Anderson Wind I,33.029444,-103.85583299999999,WIND,5.0,0.003
5757,NM,Anderson Wind II,33.013889,-103.865,WIND,10.0,0.004
5758,NM,Animas,36.725138,-108.19202,GAS,50.3,137.532
5759,NM,Aragonne Mesa Phase II,34.842778,-104.97611100000002,WIND,110.4,0.0
5760,NM,Aragonne Solar LLC,34.810278000000004,-104.98472199999999,SOLAR,40.0,0.0
5761,NM,Aragonne Wind LLC,34.8147,-105.0108,WIND,90.0,263.987
5762,NM,Blanco Compressor Station,36.731111,-107.962778,GAS,3.0,0.0
5763,NM,Blue Sky One,36.907778,-105.98527800000001,SOLAR,1.3,3.1910000000000003
5764,NM,Bluffview Power Plant,36.716628,-108.215282,GAS,67.0,328.67900000000003
5765,NM,Broadview Energy Prime 2 LLC,34.728056,-103.305,WIND,9.9,36.373000000000005
5766,NM,Broadview Energy Prime LLC,34.746944,-103.325,WIND,9.9,34.955999999999996
5767,NM,Caprock Solar 1 LLC,34.982778,-103.378333,SOLAR,25.0,0.0
5768,NM,Caprock Solar 2 LLC,34.982778,-103.378333,SOLAR,30.0,0.0
5769,NM,Caprock Wind Farm,34.980556,-103.353889,WIND,80.0,316.68
5770,NM,Carlsbad,32.418,-104.21556,GAS,16.3,0.272
5771,NM,Chino Mines,32.6956,-108.1225,GAS,101.5,29.64
5772,NM,Cibola,35.20115,-107.24515600000001,SOLAR,7.6,0.0
5773,NM,Cimarron Solar Facility,36.468078000000006,-104.63565899999999,SOLAR,30.6,62.443000000000005
5774,NM,City of Truth or Consequences PV,33.121111,-107.287778,SOLAR,1.9,0.0
5775,NM,Cunningham,32.7131,-103.3533,GAS,519.2,1054.42
5776,NM,Deming Solar Energy Center,32.165833,-107.75056000000001,SOLAR,9.0,21.136
5777,NM,Eddy County Generating Station,0.0,0.0,GAS,44.0,0.0
5778,NM,El Cabo Wind,34.651111,-105.46166699999999,WIND,298.0,0.0
5779,NM,El Vado Dam,36.592775,-106.73213,HYDRO,8.0,0.0
5780,NM,Elephant Butte,33.153358000000004,-107.191973,HYDRO,27.9,12.799000000000001
5781,NM,Escalante ,35.4159,-108.08200000000001,COAL,257.0,1389.686981
5782,NM,Eubank Landfill Solar Array,35.049167,-106.53,SOLAR,2.0,3.853
5783,NM,Ford Utilities Center,35.084078000000005,-106.62519099999999,GAS,16.3,74.101
5784,NM,Four Corners Steam Elec Station,36.69,-108.4814,COAL,2269.6,8729.343981999999
5785,NM,Freeport McMoRan,32.66176,-108.3628,OIL,45.4,0.165
5786,NM,"Gallegos Wind Farm, Phase 1",36.593333,-103.61444399999999,WIND,180.0,0.0
5787,NM,Gallup Refinery,35.488289,-108.426497,GAS,6.0,0.0
5788,NM,GSE NM1,33.3,-104.4,SOLAR,2.3,5.2620000000000005
5789,NM,"Hatch Solar Energy Center I, LLC",32.63,-107.259722,SOLAR,5.0,7.992999999999999
5790,NM,High Lonesome Mesa  LLC,34.466667,-105.9625,WIND,100.0,276.224
