,state,name,lat,lon,type,capacity(MW),production (GWh)
5849,NV,Aiya Solar Project,36.685,-114.646,SOLAR,100.0,0.0
5850,NV,Apex Generating Station,36.415999,-114.960916,GAS,600.6,1653.509
5851,NV,Apex Solar PV Power Project,36.39,-114.97,SOLAR,20.0,52.286
5852,NV,Battle Mountain,40.6253,-116.9131,OIL,8.0,0.0
5853,NV,Beowawe Power,40.5547,-116.6175,GEOTHERMAL,20.6,108.333
5854,NV,Brady,39.796032000000004,-119.01001299999999,GEOTHERMAL,32.9,52.129
5855,NV,Brunswick,39.1522,-119.7478,OIL,6.0,-0.29100000000000004
5856,NV,Chuck Lenzie Generating Station,36.383719,-114.921779,GAS,1465.6,6075.066999999999
5857,NV,CityCenter Central Plant Cogen Units,36.1039,-115.1794,GAS,8.6,64.263
5858,NV,Clark,36.0875,-115.0507,GAS,1565.6,518.487
5859,NV,CM10,35.7881,-114.9933,SOLAR,10.0,19.869
5860,NV,CM48,35.7814,-114.9933,SOLAR,48.0,103.456
5861,NV,Copper Mountain Solar 2,35.786389,-114.962778,SOLAR,154.0,224.986
5862,NV,Copper Mountain Solar 3,35.871944,-114.92833300000001,SOLAR,255.0,155.28799999999998
5863,NV,"Copper Mountain Solar 4, LLC",35.78222,-114.975375,SOLAR,92.0,0.0
5864,NV,Crescent Dunes Solar Energy,38.238889,-117.36361000000001,SOLAR,125.0,0.0
5865,NV,Desert Peak Power Plant,39.753999,-118.953497,GEOTHERMAL,37.0,73.10300000000001
5866,NV,Desert Star Energy Center,35.788889000000005,-114.99416699999999,GAS,536.0,1539.121
5867,NV,Dixie Valley Power Partnership,39.9668,-117.8558,GEOTHERMAL,28.0,0.0
5868,NV,Ely Energy Center,39.5,-114.78333300000001,COAL,1500.0,0.0
5869,NV,Empire,40.3714,-119.4092,GEOTHERMAL,4.8,0.0
5870,NV,ENEL Salt Wells LLC,39.2944,-118.5725,GEOTHERMAL,23.6,103.45100000000001
5871,NV,Fallon,39.472221999999995,-118.79111100000001,OIL,2.0,0.0
5872,NV,Fleish,39.2851,-119.5933,HYDRO,2.0,11.845999999999998
5873,NV,Fort Churchill,39.1281,-119.1322,GAS,230.0,174.75400000000002
5874,NV,Ft. Churchill PV,39.128056,-119.14,SOLAR,19.9,0.0
5875,NV,Gabbs,38.7714,-117.6869,OIL,5.4,0.0
5876,NV,Galena 2 Geothermal Power Plant,39.373189,-119.76450700000001,GEOTHERMAL,13.5,47.276
5877,NV,Galena 3 Geothermal Power Plant,39.388721999999994,-119.74890800000001,GEOTHERMAL,30.0,135.447
5878,NV,Goodsprings Waste Heat Recovery,35.809444,-115.41138899999999,GAS,7.5,14.965
5879,NV,Harry Allen,36.430554,-114.902405,GAS,745.0,3166.225
5880,NV,Hoover Dam (NV),36.01551,-114.738006,HYDRO,1039.4,2352.308
5881,NV,Jersey Valley Geothermal Power Plant,40.1808,-117.4739,GEOTHERMAL,23.5,77.942
5882,NV,Lahontan,39.4625,-119.0667,HYDRO,3.8,0.0
5883,NV,Las Vegas Cogeneration,36.2319,-115.1222,GAS,358.9,0.003
5884,NV,Las Vegas WPCF Solar Plant,36.134444,-115.035278,SOLAR,3.3,6.792999999999999
5885,NV,McGinness Hills,39.5911,-116.9119,GEOTHERMAL,100.0,325.495
5886,NV,Moapa Paiute Energy Center,36.702,-114.5125,GAS,1210.0,0.0
5887,NV,Moapa Southern Paiute,36.52995,-114.77030800000001,SOLAR,250.0,0.0
5888,NV,Mohave,35.1458,-114.5917,COAL,1636.2,0.0
5889,NV,Mountain View Solar,36.390556,-114.964444,SOLAR,20.0,53.248000000000005
5890,NV,Nellis Air Force Base Solar Array,36.260278,-115.0544,SOLAR,14.0,31.201999999999998
5891,NV,Nellis Solar PV II,36.206672,-115.047703,SOLAR,15.0,0.0
5892,NV,Nevada Cogen Assoc#1 GarnetVly,36.343229,-114.920686,GAS,96.3,726.789
5893,NV,Nevada Cogen Associates 2 Black Mountain,36.2253,-114.8783,GAS,96.3,723.4010000000001
5894,NV,Nevada Solar One,35.799797999999996,-114.98173,GAS,75.7,118.804
5895,NV,New Lahontan,39.463569,-119.06522700000001,HYDRO,4.0,6.61
5896,NV,NGP Blue Mountain I LLC,40.9961,-118.1414,GEOTHERMAL,63.9,239.601
5897,NV,North Valmy,40.881316999999996,-117.151605,COAL,567.0,2755.910998
5898,NV,NRG Solar Las Vegas MB-1,36.088611,-115.177778,SOLAR,5.0,0.0
5899,NV,Patua Geothermal Project Phase 1A,39.585833,-119.07305600000001,GEOTHERMAL,48.0,116.27600000000001
5900,NV,Playa Solar,36.408,-114.90799999999999,SOLAR,200.0,0.0
