,state,name,lat,lon,type,capacity(MW),production (GWh)
5939,NY,23rd and 3rd,40.6631,-74.0,GAS,94.0,73.738
5940,NY,59th Street,40.771285,-73.99115,GAS,17.1,0.293
5941,NY,74th Street,40.768,-73.9515,OIL,37.0,0.6940000000000001
5942,NY,AG - Energy,44.7258,-75.4417,GAS,99.3,0.0
5943,NY,Al Turi,41.4083,-74.3731,BIOMASS,2.4,9.816
5944,NY,Albany Medical Ctr Cogen Plant,42.656110999999996,-73.776389,GAS,4.6,29.866
5945,NY,Alice Falls Hydro Project,44.519153,-73.464752,HYDRO,2.1,0.10300000000000001
5946,NY,Allegany Station No. 133,42.5027,-78.0686,GAS,67.0,96.844
5947,NY,Allegany Wind Farm,42.036944,-78.534444,WIND,72.5,0.0
5948,NY,Allens Falls,44.660338,-74.860265,HYDRO,4.0,24.76
5949,NY,Arthur Kill,40.591564,-74.200035,GAS,895.5,1098.049
5950,NY,Ashokan,41.949,-74.2063,HYDRO,4.6,7.9239999999999995
5951,NY,Astoria Energy,40.781321000000005,-73.896618,GAS,1242.0,6673.664063
5952,NY,Astoria Gas Turbine Power,40.787,-73.9048,GAS,666.1,54.276
5953,NY,Astoria Generating Station,40.787673999999996,-73.912561,GAS,1345.0,1179.61501
5954,NY,Athens Generating Company,42.2728,-73.8492,GAS,1323.0,2658.65
5955,NY,Auburn LFG Energy Facility,42.944167,-76.5853,BIOMASS,3.3,10.014
5956,NY,Auburn State Street,42.9278,-76.5921,GAS,7.0,0.0
5957,NY,Bassett Medical Center,42.6944,-74.9242,OIL,5.6,0.003
5958,NY,Batavia Energy,42.9828,-78.1592,GAS,67.3,10.79
5959,NY,Bayswater Peaking Facility,40.610654,-73.762218,GAS,60.5,200.104
5960,NY,Beardslee,43.019113,-74.741349,HYDRO,20.0,51.391000000000005
5961,NY,"Beaver Falls, LLC",43.8861,-75.4342,GAS,107.8,1.151
5962,NY,Beebee Island Hydro Plant,43.9767,-75.9072,HYDRO,9.0,43.841
5963,NY,Belfort,43.9275,-75.3331,HYDRO,2.0,12.193
5964,NY,Bennetts Bridge,43.5317,-75.9531,HYDRO,36.0,103.936
5965,NY,Bethlehem Energy Center (Albany),42.594196000000004,-73.763752,GAS,1293.1,4286.736
5966,NY,Bethpage Energy Center,40.7469,-73.4994,GAS,240.0,557.396
5967,NY,Binghamton Cogen Plant,42.107192,-75.927782,GAS,47.7,0.024
5968,NY,Black Oak Wind Farm,42.40222,-76.6704,WIND,16.1,0.0
5969,NY,Black River,44.000122,-75.813151,HYDRO,6.0,33.815
5970,NY,"Black River Generation, LLC",44.03647,-75.77204,BIOMASS,55.5,301.609003
5971,NY,Black River Hydro Associates,43.591246000000005,-75.344207,HYDRO,5.7,14.882
5972,NY,Blake,44.506474,-74.753442,HYDRO,15.0,58.115
5973,NY,Blenheim Gilboa,42.4423,-74.4479,HYDRO,1000.0,-176.02
5974,NY,Bowline Generating Station,41.2044,-73.9689,GAS,1992.0,1479.640955
5975,NY,Brentwood,40.7865,-73.2927,GAS,47.0,43.242
5976,NY,Brentwood Solar,40.781389000000004,-73.243889,SOLAR,1.0,1.2990000000000002
5977,NY,Bronx Zoo,40.844114000000005,-73.876888,GAS,3.6,21.813000000000002
5978,NY,Brookfield Power Glen Falls Hydro,43.308505,-73.636584,HYDRO,11.8,58.916000000000004
5979,NY,Brookhaven Facility,40.7783,-72.9156,BIOMASS,6.6,0.0
5980,NY,Brooklyn Navy Yard Cogeneration,40.699357,-73.976392,GAS,322.0,2051.954973
5981,NY,Browns Falls,44.211407,-75.059441,HYDRO,16.0,61.536
5982,NY,Cadyville,44.695,-73.6219,HYDRO,5.5,23.73
5983,NY,Caithness Long Island Energy Center,40.8142,-72.9403,GAS,348.9,2397.688007
5984,NY,Carr Street Generating Station,43.06132,-76.08239,GAS,122.6,97.70700000000001
5985,NY,Carthage Energy,43.9842,-75.6225,GAS,62.9,11.417
5986,NY,Carver Falls,43.6262,-73.3073,HYDRO,1.9,5.303999999999999
5987,NY,Cassadaga  Wind Farm,42.338333,-79.19555600000001,WIND,125.0,0.0
5988,NY,"Castleton Power, LLC",42.5375,-73.7433,GAS,72.0,229.367996
5989,NY,"Cayuga Operating Company, LLC",42.6028,-76.6336,COAL,322.5,916.218003
5990,NY,Cellu Tissue Natural Dam,44.336358000000004,-75.50274,HYDRO,1.0,7.569
5991,NY,Center Falls,43.096677,-73.460172,HYDRO,1.1,2.097
5992,NY,Central Hudson High Falls,41.828814,-74.131877,HYDRO,3.2,0.0
5993,NY,Chaffee Gas Recovery,42.5831,-78.4864,BIOMASS,6.4,47.803000000000004
5994,NY,Charles P Keller,40.6331,-73.6375,GAS,33.8,-0.691
5995,NY,Charles Poletti,40.776389,-73.910833,OIL,883.0,0.0
5996,NY,Chasm,44.7533,-74.2169,HYDRO,3.0,8.019
5997,NY,Chasm Hydro Partnership,44.9318,-74.1125,HYDRO,1.6,5.186
5998,NY,Chateaugay High Falls Hydro,44.909915000000005,-74.085798,HYDRO,1.7,5.906000000000001
5999,NY,Chautauqua LFGTE Facility,42.1989,-79.3186,BIOMASS,9.6,42.422
6000,NY,Clarkson Solar,44.671944,-74.949444,SOLAR,2.0,0.075
6001,NY,Clarkstown Landfill Solar Facility,41.100409,-73.951593,SOLAR,2.0,0.0
6002,NY,Clinton LFGTE Facility,44.6917,-73.5944,BIOMASS,6.4,39.57
6003,NY,Cohalan,40.762465,-73.194441,SOLAR,4.0,5.191
6004,NY,Cohocton Wind Project,42.45,-77.52,WIND,87.5,181.942
6005,NY,Colonie LFGTE Facility,42.8025,-73.7378,BIOMASS,6.4,37.019
6006,NY,Colton,44.5839,-74.9583,HYDRO,36.0,189.93200000000002
6007,NY,Copenhagen Plant,43.899745,-75.660268,HYDRO,3.3,10.485999999999999
6008,NY,Copenhagen Wind Farm,43.913056,-75.698611,WIND,79.9,0.0
6009,NY,Cornell Hydro,42.451921999999996,-76.48509200000001,HYDRO,1.9,2.66
6010,NY,Cornell Snyder Road Solar Array,42.4975,-76.46,SOLAR,1.8,0.33
6011,NY,Cornell University Ithaca Campus,42.4428,-76.4764,GAS,37.5,202.506996
6012,NY,Covanta Babylon Inc,40.7348,-73.3868,BIOMASS,17.0,109.522
6013,NY,Covanta Hempstead,40.7389,-73.5906,BIOMASS,78.6,574.659005
6014,NY,Covanta Niagara,43.0839,-79.0056,BIOMASS,50.0,184.34400000000002
6015,NY,CPV Valley Energy Center,41.4122,-74.4378,GAS,775.0,0.0
6016,NY,Crescent,42.8056,-73.72264,HYDRO,11.6,51.757
6017,NY,Cricket Valley Energy,41.676111,-73.58111099999999,GAS,1170.0,0.0
