,state,name,lat,lon,type,capacity(MW),production (GWh)
6333,OH,AES ES Tait,39.728611,-84.208333,OTHF,20.0,0.0
6334,OH,Akron Recycle Energy Plant,41.073336,-81.530642,BIOMASS,4.0,0.0
6335,OH,Akron WRF,41.153333,-81.568889,BIOMASS,1.8,6.7139999999999995
6336,OH,AMP Napoleon Solar Facility,41.406667,-84.110833,SOLAR,3.5,5.147
6337,OH,AMP-Ohio Gas Turbines Bowling Green,41.397369,-83.64123599999999,GAS,49.5,0.855
6338,OH,AMP-Ohio Gas Turbines Galion ,40.7167,-82.789,GAS,49.5,0.789
6339,OH,AMP-Ohio Gas Turbines Napoleon,41.4079,-84.1095,GAS,49.5,0.892
6340,OH,Anadarko,39.7486,-81.0958,OIL,7.8,0.0
6341,OH,Anthony Wayne Solar #1,41.627221999999996,-83.574722,SOLAR,1.7,1.9880000000000002
6342,OH,Arcanum,39.9861,-84.5503,OIL,1.2,0.016
6343,OH,Arcanum Peaking,39.9867,-84.5513,OIL,1.8,0.006
6344,OH,ArcelorMittal Cleveland LLC,41.4739,-81.6728,OTHF,68.0,195.54799599999998
6345,OH,ArcelorMittal Warren,41.2119,-80.8176,OFSL,20.5,36.24
6346,OH,Ashtabula,41.9086,-80.7697,COAL,440.0,188.281001
6347,OH,Ashtabula,41.890026,-80.7612,GAS,26.1,141.306
6348,OH,Auglaize Hydro,41.237206,-84.39975600000001,HYDRO,5.0,10.769219999999999
6349,OH,Avon Lake Power Plant,41.504453000000005,-82.05461899999999,COAL,870.0,2147.0570239999997
6350,OH,Battery Utility of Ohio,40.260278,-82.833056,OTHF,4.0,0.0
6351,OH,Bay Shore,41.6917,-83.4378,OIL,665.3,939.866002
6352,OH,Bay View Backup Power Facility,41.688333,-83.48472199999999,GAS,12.0,0.22399999999999998
6353,OH,Bay View Cogeneration Facility,41.688333,-83.48472199999999,BIOMASS,12.0,4.89
6354,OH,Bellefontaine Gas Producers LLC,40.410751,-83.71788000000001,BIOMASS,4.8,38.356
6355,OH,Black Fork Wind Energy Project,40.854622,-82.7612,WIND,200.0,0.0
6356,OH,Blue Creek Wind Project,40.931515000000005,-84.561824,WIND,302.0,766.4889999999999
6357,OH,Bowling Green,41.3822,-83.6113,OIL,8.8,0.076
6358,OH,Bowling Green Wind,41.3786,-83.7383,WIND,7.2,14.262
6359,OH,Bridgewater Dairy Anaerobic Digester,41.6292,-84.6694,BIOMASS,1.2,1.906
6360,OH,Broshco Fabricated Products,40.776111,-82.568611,GAS,4.7,1.605
6361,OH,Bryan (OH),41.471821999999996,-84.543148,GAS,39.3,0.848
6362,OH,Bryan Peaking,41.4609,-84.527,OIL,10.8,0.157
6363,OH,Bryan Solar Field,41.476389000000005,-84.586111,SOLAR,2.1,2.54727
6364,OH,Buckeye Wind Farm,40.123889,-83.638056,WIND,200.0,0.0
6365,OH,Carbon Limestone,40.9975,-80.5208,BIOMASS,25.6,146.526
6366,OH,Cardinal,40.2522,-80.6486,COAL,1880.4,10700.74939
6367,OH,Carroll County Energy,40.604409999999994,-81.05918,GAS,832.3,0.0
6368,OH,"Celina Solar Project #1, LLC",40.540556,-84.590556,SOLAR,4.0,6.138999999999999
