,state,name,lat,lon,type,capacity(MW),production (GWh)
6605,OR,45 Mile Hydroelectric Project,44.528056,-121.152778,HYDRO,2.7,0.0
6606,OR,Alden Bailey Power Plant,46.158402,-123.40596000000001,GAS,10.9,0.18717999999999999
6607,OR,Arlington Wind Power Project,45.7167,-120.2008,WIND,103.0,224.945
6608,OR,Baldock Solar Highway,45.269444,-122.771667,SOLAR,1.7,2.116
6609,OR,Beaver,46.172401,-123.17392,GAS,610.7,206.100997
6610,OR,Bellevue Solar Project,45.112221999999996,-123.23472199999999,SOLAR,1.6,1.6980000000000002
6611,OR,Bend,44.062326,-121.313331,HYDRO,1.1,2.498
6612,OR,Benson Creek Windfarm,44.366944000000004,-117.34388899999999,WIND,10.0,0.0
6613,OR,Big Cliff,44.7514,-122.2832,HYDRO,18.0,71.972
6614,OR,Big Top LLC,45.655,-119.4647,WIND,1.7,3.8810000000000002
6615,OR,Biglow Canyon Wind Farm,45.653745,-120.60341399999999,WIND,449.7,1142.486
6616,OR,Biomass One LP,42.436111,-122.849958,BIOMASS,40.0,195.155
6617,OR,Black Cap Solar Plant,42.313333,-120.431944,SOLAR,2.0,4.3069999999999995
6618,OR,Boardman,45.693182,-119.808819,COAL,642.2,3202.306967
6619,OR,Bonneville,45.6441,-121.94100900000001,HYDRO,1162.0,4876.917
6620,OR,Bull Run Hydro,45.429035,-122.233897,HYDRO,20.8,0.0
6621,OR,Butter Creek Power LLC,45.7017,-119.4222,WIND,5.0,13.209000000000001
6622,OR,Carmen Smith,44.285977,-122.041352,HYDRO,114.3,280.438
6623,OR,Carty Generating Station,45.698611,-119.813056,GAS,1000.0,0.0
6624,OR,C-Drop Hydro,42.165833,-121.685,HYDRO,1.1,2.1519999999999997
6625,OR,Chopin Wind LLC,45.88,-118.463333,WIND,10.0,0.0
6626,OR,Clearwater 1,43.251244,-122.337924,HYDRO,15.0,41.246
6627,OR,Clearwater 2,43.266894,-122.409807,HYDRO,26.0,44.891999999999996
6628,OR,Cline Falls,44.2778,-121.2564,HYDRO,1.0,0.0
6629,OR,Coffin Butte,44.5889,-123.2728,BIOMASS,5.6,42.338
6630,OR,Co-Gen II LLC,42.961126,-123.35913799999999,BIOMASS,7.5,0.0
6631,OR,Co-Gen LLC,44.458696,-118.720601,BIOMASS,7.5,0.0
6632,OR,Combine Hills I,45.943000000000005,-118.59100000000001,WIND,41.0,107.566
6633,OR,Condon Windpower LLC,45.2766,-120.2794,WIND,49.8,99.604
6634,OR,Copper Dam Plant,45.66523,-121.52376100000001,HYDRO,3.0,14.355
6635,OR,Cougar,44.1307,-122.2439,HYDRO,26.0,156.925
6636,OR,Covanta Marion Inc,45.048466999999995,-122.96276100000001,BIOMASS,13.1,87.764
6637,OR,Coyote Springs,45.847998,-119.67392,GAS,266.3,1273.703
6638,OR,Coyote Springs II,45.848039,-119.673965,GAS,287.0,1493.933
6639,OR,Dalles Dam North Fishway Project,45.614375,-121.136885,HYDRO,6.5,40.902
6640,OR,Detroit,44.7224,-122.2511,HYDRO,100.0,372.019
6641,OR,Dexter,43.9242,-122.8055,HYDRO,15.0,42.474
6642,OR,Dillard Complex,43.0895,-123.4156,BIOMASS,51.5,167.283004
6643,OR,Dorena Hydro-Electric Facility,43.786667,-122.958056,HYDRO,7.5,0.8370000000000001
6644,OR,Dry Creek LFG to Energy Project,42.3883,-122.7911,BIOMASS,3.2,20.339000000000002
6645,OR,Durbin Creek Windfarm,44.353056,-117.32305600000001,WIND,10.0,0.0
6646,OR,Eagle Point,42.514575,-122.757062,HYDRO,2.8,16.187
6647,OR,East Side,42.224847,-121.795496,HYDRO,3.2,0.0
6648,OR,Elkhorn Valley Wind Farm,45.085221000000004,-117.816273,WIND,100.7,293.32
6649,OR,Eurus Combine Hills Turbine Ranch 2,45.943000000000005,-118.59100000000001,WIND,63.0,161.908
6650,OR,Evergreen BioPower LLC,44.770792,-122.611974,BIOMASS,21.0,52.744477
6651,OR,Falls Creek,44.396815000000004,-122.350246,HYDRO,4.1,16.83
6652,OR,Faraday,45.268045,-122.32009,HYDRO,36.6,160.96200000000002
6653,OR,Finley Buttes Landfill Gas,45.69,-119.61,BIOMASS,4.8,34.805
6654,OR,Fish Creek,43.274221000000004,-122.448978,HYDRO,11.0,24.131999999999998
6655,OR,Foster,44.4146,-122.6712,HYDRO,20.0,101.649
6656,OR,Four Corners Windfarm LLC,45.7286,-119.4181,WIND,10.0,29.113000000000003
6657,OR,Four Mile Canyon Windfarm LLC,45.6447,-119.4533,WIND,10.0,26.215
6658,OR,FPL Energy Vansycle LLC (OR),46.01279,-118.81624599999999,WIND,122.8,274.382
6659,OR,Galesville Project,42.8489,-123.1778,HYDRO,1.6,2.708
6660,OR,Georgia-Pacific Toledo Mill,44.611944,-123.931944,BIOMASS,37.3,26.873996
6661,OR,Georgia-Pacific Wauna Mill,46.153954999999996,-123.40658,BIOMASS,36.0,126.65799999999999
6662,OR,Green Peter,44.4494,-122.5494,HYDRO,80.0,299.515
6663,OR,Green Springs,42.121168,-122.547896,HYDRO,17.2,64.423
6664,OR,Ground Water Pumping Station,45.555833,-122.494722,HYDRO,5.4,0.0
6665,OR,Hay Canyon Wind Power LLC,45.52,-120.5744,WIND,108.0,228.53400000000002
6666,OR,Hells Canyon,45.2439,-116.7008,HYDRO,391.5,1623.0910000000001
6667,OR,Hermiston,45.8042,-119.37,GAS,621.2,2315.061
6668,OR,Hermiston Power Plant,45.794046,-119.313323,GAS,689.4,3100.5840000000003
6669,OR,Hills Creek,43.7107,-122.4238,HYDRO,30.0,108.905
6670,OR,Horseshoe Bend Wind LLC,45.288056,-120.17388799999999,WIND,290.0,652.3430000000001
6671,OR,IP Springfield Oregon,44.0569,-122.9555,BIOMASS,65.0,71.137
6672,OR,"JC-Biomethane, LLC",44.183526,-123.20045400000001,BIOMASS,1.6,6.312
6673,OR,Jett Creek Windfarm,44.425,-117.27388899999998,WIND,10.0,0.0
6674,OR,John C Boyle,42.093610999999996,-122.0703,HYDRO,98.7,172.588
6675,OR,John Day,45.716440000000006,-120.69408,HYDRO,2160.0,9472.764000000001
6676,OR,Juniper Ridge Hydroelectric Project,44.142697999999996,-121.269747,HYDRO,5.0,13.957
6677,OR,Klamath Cogeneration Project,42.173889,-121.810556,GAS,501.5,2184.907
6678,OR,Klamath Energy LLC,42.172717999999996,-121.814393,GAS,117.6,34.991
6679,OR,Klamath Solar,42.225,-121.781667,SOLAR,5.0,0.0
6680,OR,Klondike Wind Power,45.5563,-120.5507,WIND,24.5,54.031000000000006
6681,OR,Klondike Windpower II,45.571000000000005,-120.59299999999999,WIND,75.0,222.97799999999998
6682,OR,Klondike Windpower III,45.5836,-120.5042,WIND,297.5,800.26
6683,OR,Lacomb Irrigation District,44.597518,-122.685441,HYDRO,1.0,4.495
6684,OR,Lakeview Cogeneration LLC,42.188889,-120.679166,BIOMASS,26.8,0.0
6685,OR,Leaburg,44.1011,-122.6892,HYDRO,15.9,88.35799999999999
