,state,name,lat,lon,type,capacity(MW),production (GWh)
6770,PA,500 Virginia Solar,40.139167,-75.19166700000001,SOLAR,1.0,1.129
6771,PA,AES Beaver Valley LLC,40.657218,-80.35392900000001,COAL,149.0,0.0
6772,PA,Allegheny Energy Units 1 & 2,40.546667,-79.768333,GAS,87.6,61.498000000000005
6773,PA,"Allegheny Energy Units 3, 4 & 5",40.545278,-79.76861099999999,GAS,556.0,3929.5759999999996
6774,PA,Allegheny Energy Units 8 & 9,39.7475,-79.838888,GAS,87.6,49.415
6775,PA,Allegheny Hydro No 8,40.896596,-79.47898199999999,HYDRO,13.6,102.209
6776,PA,Allegheny Hydro No 9,40.955961,-79.55068100000001,HYDRO,17.8,125.50200000000001
6777,PA,Allegheny No 6 Hydro Partners,40.716389,-79.57722199999999,HYDRO,9.2,3.947
6778,PA,Allegheny Ridge Wind Farm,40.383889,-78.579444,WIND,80.0,202.479
6779,PA,Allenwood,41.151111,-76.917777,BIOMASS,3.2,24.305
6780,PA,Alpaca,41.663056,-76.80555600000001,GAS,22.0,0.0
6781,PA,American Eagle Paper Mills,40.679853,-78.233464,COAL,17.5,44.515
6782,PA,Amity Energy LLC,40.071389,-80.204722,GAS,22.0,0.0
6783,PA,Aqua Ingrams Mill,39.9647,-75.6578,SOLAR,1.0,1.266
6784,PA,Armenia Mountain Wind Farm,41.7619,-76.8553,WIND,100.5,269.565
6785,PA,Armstrong Power Station,40.929167,-79.465556,COAL,326.4,0.0
6786,PA,"Armstrong Power, LLC",40.638021,-79.351725,GAS,688.0,711.764003
6787,PA,"Basswood Energy, LLC",41.640278,-77.27833299999999,GAS,22.0,0.0
6788,PA,Bayles,39.816944,-80.02444399999999,GAS,22.0,0.0
6789,PA,Beaver Dam,41.611389,-76.843056,GAS,22.0,0.0
6790,PA,Beaver Solar LLC,40.691389,-80.32388900000001,SOLAR,1.3,1.472
6791,PA,Beaver Valley,40.6219,-80.4336,NUCLEAR,1846.8,14757.306
6792,PA,Beaver Valley Patterson Dam,40.744105,-80.317839,HYDRO,1.2,3.398
6793,PA,Bethlehem Power Plant,40.6175,-75.3147,GAS,1300.0,4702.961988
6794,PA,Bethlehem Renewable Energy LLC,40.621582000000004,-75.310236,BIOMASS,5.5,28.73
6795,PA,Blossburg,41.706475,-77.08184,GAS,24.0,4.538
6796,PA,Blue Ridge Landfill,39.961944,-77.561111,BIOMASS,6.4,51.43
6797,PA,Braddock Lock and Dam,40.388889,-79.858889,HYDRO,5.3,0.0
6798,PA,Broad Mountain,40.669608000000004,-76.380716,BIOMASS,11.0,44.57
6799,PA,Bruce Mansfield,40.6348,-80.4159,COAL,2741.1,17142.73977
6800,PA,"Brunner Island, LLC",40.096111,-76.6962,COAL,1624.2,5944.39297
6801,PA,Brunot Island Power Station,40.464851,-80.043761,GAS,416.4,35.586
6802,PA,Bucknell University,40.955015,-76.878843,GAS,5.9,36.705
6803,PA,Cambria Cogen,40.474167,-78.7014,COAL,98.0,748.614996
6804,PA,CASD Solar,40.2142,-77.2061,SOLAR,1.3,0.001
