,state,name,lat,lon,type,capacity(MW),production (GWh)
7039,SC,99 Islands,35.0314,-81.4936,HYDRO,18.0,78.817
7040,SC,Allendale Biomass,32.995,-81.281944,BIOMASS,19.8,118.66799999999999
7041,SC,Anderson Regional Landfill,34.103056,-80.79055600000001,BIOMASS,3.2,10.992
7042,SC,Bad Creek,35.0075,-82.9975,HYDRO,1296.0,-493.746
7043,SC,Berkeley County Landfill,33.121111,-80.029444,BIOMASS,3.2,5.886
7044,SC,BMW Manufacturing Co,34.894166999999996,-82.178333,BIOMASS,11.0,50.3573
7045,SC,Bob Jones University Cogen Plant,34.8694,-82.3639,OIL,7.4,0.0
7046,SC,Boyds Mill Hydro,34.455514,-82.199339,HYDRO,1.4,4.135
7047,SC,Broad River Energy Center,35.0786,-81.575,GAS,985.0,388.805
7048,SC,Bull Street Plant,33.489767,-80.870272,GAS,2.0,-0.04
7049,SC,Burton,32.436111,-80.721388,GAS,34.5,0.0
7050,SC,Buzzard Roost,34.169722,-81.9025,HYDRO,15.0,36.404
7051,SC,Buzzard Roost GT,34.171389000000005,-81.91166700000001,GAS,197.6,0.0
7052,SC,Camden South Carolina,34.2338,-80.6558,COAL,30.0,11.850103
7053,SC,Canadys Steam,33.0647,-80.6228,COAL,489.6,0.0
7054,SC,Catawba,35.0514,-81.0694,NUCLEAR,2410.2,18711.509
7055,SC,Cedar Creek,34.5414,-80.8756,HYDRO,45.0,156.153
7056,SC,Central Energy Facility,34.679444000000004,-82.840278,GAS,10.0,3.258
7057,SC,Cherokee County Cogen,35.0727,-81.613,GAS,101.2,333.9322
7058,SC,Cherokee Falls,35.0642,-81.5458,HYDRO,4.3,13.485
7059,SC,City West Diesel Plant,34.7225,-81.64694399999999,OIL,7.2,0.44393999999999995
7060,SC,Clifton Dam 3 Power Station,34.9953,-81.8344,HYDRO,1.2,4.894
7061,SC,Coit GT,33.980253999999995,-81.04066999999999,GAS,39.2,1.867
7062,SC,Colleton Solar Farm,32.913333,-80.6925,SOLAR,2.5,4.785
7063,SC,Columbia Canal Hydro,33.9972,-81.0494,HYDRO,10.6,40.074
7064,SC,Columbia Energy Center (SC),33.8697,-81.0178,GAS,668.5,578.782513
7065,SC,Cope Station,33.3644,-81.03,COAL,417.3,2973.3450350000003
7066,SC,Cornell Dubilier,0.0,0.0,OIL,2.9,0.0
7067,SC,Cotton Solar,34.455,-79.410278,SOLAR,16.0,0.0
7068,SC,Cross,33.371389,-80.113333,COAL,2390.1,11892.58048
7069,SC,Darlington County,34.4185,-80.1657,GAS,1045.8,111.081
7070,SC,Dearborn,34.5583,-80.8914,HYDRO,45.0,138.262
7071,SC,Dolphus M Grainger,33.826667,-79.053333,COAL,163.2,0.0
7072,SC,Dorchester Biomass,33.238611,-80.450278,BIOMASS,19.8,124.13600000000001
7073,SC,Enoree Phase II Landfill Gas Recovery,34.8008,-82.1847,BIOMASS,3.2,15.35856
7074,SC,Faber Place,32.783333,-79.983333,GAS,11.5,0.0
7075,SC,Fairfield Pumped Storage,34.3061,-81.3308,HYDRO,511.2,-152.382
7076,SC,Fishing Creek,34.6,-80.8928,HYDRO,42.3,156.44899999999998
7077,SC,Gaston Shoals,35.1381,-81.5975,HYDRO,6.7,9.943999999999999
7078,SC,Georgetown LFGTE,33.453610999999995,-79.31611099999999,BIOMASS,1.1,4.136
7079,SC,Great Falls (SC),34.5592,-80.8917,HYDRO,24.0,2.272
7080,SC,H B Robinson,34.4017,-80.1589,NUCLEAR,991.5,5597.4619999999995
7081,SC,Hagood,32.8265,-79.9634,GAS,186.0,28.721999999999998
7082,SC,Hardeeville,32.298805,-81.07386600000001,OIL,16.3,0.004
7083,SC,Hilton Head Gas Turbine Site,32.208889,-80.69888900000001,OIL,117.9,2.6319999999999997
7084,SC,Hollidays Bridge Hydro,34.527475,-82.374964,HYDRO,4.0,11.102
7085,SC,Honea Path,34.4364,-82.3642,OIL,2.9,0.098
7086,SC,Horry Land Fill Gas Site,33.8125,-78.96722199999999,BIOMASS,4.2,12.764000000000001
