,state,name,lat,lon,type,capacity(MW),production (GWh)
8054,WA,Alder,46.8016,-122.3102,HYDRO,50.0,247.53599999999997
8055,WA,Big Horn Wind II,45.9192,-120.3039,WIND,50.0,126.286
8056,WA,Big Horn Wind Project,45.8877,-120.2896,WIND,199.0,517.2719999999999
8057,WA,Biotech LS 0836,46.7331,-117.1583,OIL,1.0,0.0
8058,WA,Black Creek,47.534465000000004,-121.702596,HYDRO,3.7,14.093639999999999
8059,WA,Boulder Park,47.697222,-117.147222,GAS,24.6,14.811
8060,WA,Boundary,48.987111,-117.347847,HYDRO,1039.8,4243.407
8061,WA,Box Canyon,48.780856,-117.41833700000001,HYDRO,82.5,434.99199999999996
8062,WA,Cedar Falls (WA),47.4193,-121.78185800000001,HYDRO,30.0,65.197
8063,WA,Cedar Hills,47.455833,-122.042778,BIOMASS,5.4,24.486
8064,WA,Centralia,46.755938,-122.85976399999998,COAL,1781.8,6683.651004
8065,WA,Chandler,46.26678,-119.589821,HYDRO,12.0,44.288999999999994
8066,WA,Chehalis Generation Facility,46.6225,-122.9131,GAS,698.0,2543.785
8067,WA,Chelan,47.8347,-120.0133,HYDRO,59.2,398.17900000000003
8068,WA,Chief Joseph,47.9951,-119.6404,HYDRO,2456.2,11643.559
8069,WA,Coastal Energy Project,46.793581,-124.06541200000001,WIND,6.0,16.27
8070,WA,Columbia Generating Station,46.4711,-119.3339,NUCLEAR,1200.0,9497.321
8071,WA,Colville Indian Plywood & Veneer,48.399007,-119.508871,BIOMASS,15.7,0.0
8072,WA,Condit,45.7544,-121.5269,HYDRO,13.7,0.0
8073,WA,Consumer Products (Camas) LLC,45.584722,-122.4056,OTHF,61.5,66.234
8074,WA,Cosmo Specialty Fibers Plant,46.954071,-123.761086,BIOMASS,15.0,108.916
8075,WA,Cowiche,46.692628000000006,-120.73719399999999,HYDRO,1.7,4.522
8076,WA,Cowlitz Falls,46.4661,-122.1097,HYDRO,70.0,290.216
8077,WA,Coyote Crest Wind Farm,46.738333000000004,-123.347778,WIND,126.0,0.0
8078,WA,Crystal Mountain,46.953468,-121.47519799999999,OIL,2.7,0.358
8079,WA,Cushman 1,47.4181,-123.2252,HYDRO,43.2,131.747
8080,WA,Cushman 2,47.3698,-123.1603,HYDRO,84.6,225.192
8081,WA,Darrington,48.269737,-121.599979,BIOMASS,4.5,18.992
8082,WA,Diablo,48.713853,-121.131736,HYDRO,182.4,856.105
8083,WA,Diesel Generator Farm,47.424721999999996,-120.3275,OIL,47.8,0.0
8084,WA,Drop 2 (WA),46.4492,-120.5342,HYDRO,2.5,4.245
8085,WA,Drop 3 (WA),46.423133,-120.559997,HYDRO,1.6,0.0
8086,WA,Electron,46.990967,-122.174921,HYDRO,22.8,42.364
8087,WA,Eltopia Branch Canal 4.6,46.378381,-119.254522,HYDRO,2.2,6.047000000000001
8088,WA,Elwha Hydroelectric Project,48.0949,-123.5574,HYDRO,12.6,0.0
8089,WA,Encogen Generating Station,48.746,-122.486,GAS,176.4,219.64300099999997
8090,WA,Everett Cogen,47.9785,-122.2217,BIOMASS,42.0,0.0
8091,WA,Ferndale Generating Station,48.828813000000004,-122.68666699999999,GAS,285.5,723.051996
8092,WA,FPL Energy Vansycle LLC (WA),46.06,-118.917,WIND,176.9,367.594
8093,WA,Franklin/Grays,46.3069,-119.1139,GAS,45.6,0.0
8094,WA,Frederickson,47.079722,-122.365,GAS,177.8,14.22
8095,WA,Frederickson Power LP,47.086110999999995,-122.365674,GAS,318.3,698.0930000000001
8096,WA,Fredonia Generating Station,48.4558,-122.4358,GAS,376.0,67.546
8097,WA,Glines Hydroelectric Project,48.0022,-123.6002,HYDRO,16.3,0.0
8098,WA,Goldendale Generating Station,45.8114,-120.833,GAS,284.3,1005.123
8099,WA,Goodnoe Hills,45.781825,-120.521151,WIND,97.8,216.762
8100,WA,Gorge,48.698056,-121.208611,HYDRO,207.3,1056.733
8101,WA,Grand Coulee,47.957511,-118.977323,HYDRO,6809.0,20261.569
8102,WA,Grays Harbor Energy Center,46.9692,-123.48,GAS,650.0,1705.3870000000002
8103,WA,Grimes Way,46.7289,-117.1514,OIL,4.0,0.45399999999999996
8104,WA,H M Jackson,47.9084,-121.8144,HYDRO,111.8,514.33569
8105,WA,Harvest Wind Project,45.8131,-120.3475,WIND,98.9,249.521
8106,WA,Hopkins Ridge Wind,46.4211,-117.8331,WIND,156.6,453.219
8107,WA,Ice Harbor,46.249801,-118.87983799999999,HYDRO,603.0,1725.9260000000002
8108,WA,Juniper Canyon I Wind Project,45.9215,-120.2355,WIND,151.2,338.845
8109,WA,Kettle Falls Generating Station,48.620336,-118.11105900000001,BIOMASS,57.9,263.44299900000004
8110,WA,Koma Kulshan Associates,48.680178000000005,-121.723294,HYDRO,12.0,48.909
8111,WA,LaGrande,46.8328,-122.3196,HYDRO,64.0,385.789
8112,WA,Lilliwaup Falls Generating,47.4706,-123.1153,HYDRO,1.4,0.0
8113,WA,Linden Wind Energy Project,45.744171,-120.78356799999999,WIND,50.0,147.475
8114,WA,Little Falls (WA),47.821667,-117.91666699999999,HYDRO,32.0,195.005
8115,WA,Little Goose,46.5838,-118.0273,HYDRO,810.0,2224.624
8116,WA,Long Lake,47.834444,-117.83611100000002,HYDRO,70.0,476.44199999999995
8117,WA,Longview Fibre,46.103887,-122.918429,BIOMASS,135.0,297.264003
8118,WA,Lower Baker,48.5478,-121.7407,HYDRO,111.2,429.608
8119,WA,Lower Granite,46.659503,-117.42938500000001,HYDRO,810.0,2284.833
8120,WA,Lower Monumental,46.5635,-118.5397,HYDRO,810.0,2290.236
8121,WA,Lower Snake River Wind Energy Project,46.524167,-117.821666,WIND,342.7,875.6560000000001
8122,WA,LRI LFGTE Facility,46.975556,-122.29055600000001,BIOMASS,4.5,36.677
8123,WA,Main Canal Headworks,47.6164,-119.2992,HYDRO,26.8,108.15799999999999
8124,WA,March Point Cogeneration,48.4708,-122.56,GAS,166.8,1003.10288
8125,WA,Marengo Wind Plant,46.3747,-117.7772,WIND,210.6,542.305
