,state,name,lat,lon,type,capacity(MW),production (GWh)
8200,WI,Alexander,45.1875,-89.7553,HYDRO,4.2,26.378
8201,WI,Alma,44.308333000000005,-91.911111,COAL,181.0,69.294
8202,WI,Ameresco Janesville,42.7083,-89.0208,BIOMASS,3.0,13.924000000000001
8203,WI,Apple River,45.157552,-92.71621400000001,HYDRO,3.2,15.37
8204,WI,Appleton,44.25393,-88.40956,HYDRO,2.2,13.697000000000001
8205,WI,Arcadia Electric,44.2524,-91.5034,GAS,16.9,0.151
8206,WI,Argyle,42.7019,-89.8697,HYDRO,4.5,0.203
8207,WI,Arpin Dam,45.7517,-91.2028,HYDRO,1.4,8.129
8208,WI,Barron,45.40193,-91.84038199999999,HYDRO,8.6,0.243
8209,WI,Bay Front,46.587222,-90.9017,BIOMASS,67.2,181.064001
8210,WI,Berlin Landfill Gas,43.9603,-88.9158,BIOMASS,2.4,20.401
8211,WI,Big Falls,45.491667,-91.0469,HYDRO,7.7,47.501999999999995
8212,WI,Biron,44.4306,-89.7808,HYDRO,6.0,27.386
8213,WI,Biron Mill,44.43,-89.78,COAL,61.6,273.656996
8214,WI,Blackhawk,42.50654,-89.03218299999999,GAS,50.0,0.0
8215,WI,Blount Street,43.0789,-89.3744,GAS,187.5,1.158
8216,WI,Blue Sky Green Field Wind Project,43.8794,-88.2708,WIND,145.2,350.944
8217,WI,Brule,45.9472,-88.2189,HYDRO,5.3,16.590999999999998
8218,WI,Butler Ridge,43.400278,-88.481111,WIND,54.0,156.77700000000002
8219,WI,Byron,43.6575,-88.4381,WIND,1.4,2.6319999999999997
8220,WI,Caldron Falls,45.3569,-88.2306,HYDRO,6.4,17.125
8221,WI,Capitol Heat and Power,43.078511999999996,-89.377261,GAS,5.0,0.0
8222,WI,Cashton,43.7561,-90.7806,0,3.8,0.0
8223,WI,Cashton Greens Wind Farm,43.733889000000005,-90.805,WIND,5.0,12.038
8224,WI,Castle Rock,43.8656,-89.9514,HYDRO,15.0,111.912
8225,WI,Cedar Falls (WI),44.9367,-91.8883,HYDRO,6.0,44.251999999999995
8226,WI,Cedar Ridge,43.692646999999994,-88.32974200000001,WIND,67.7,176.921
