state,name,lat,lon,type,capacity_MW,production_GWh
AK,Agrium Kenai Nitrogen Operations,60.6732,-151.3784,GAS,21.6,0
AK,Alakanuk,62.6833,-164.6544,OIL,2.6,2.244
AK,Allison Creek Hydro,61.084444,-146.353333,HYDRO,6.5,0
AK,Anchorage 1,61.2221,-149.8661,GAS,121.4,33.642
AK,Angoon,57.447778,-134.492778,OIL,1.9,1.693
AK,Aniak,61.5875,-159.5317,OIL,2,2.63
AK,Annex Creek,58.3176,-134.101,HYDRO,4,27.38
AK,Auke Bay,58.3875,-134.6446,OIL,36.2,0
AK,Aurora Energy LLC Chena,64.847743,-147.735063,COAL,31.3,191.062
AK,Barrow,71.292,-156.7786,GAS,20.3,49.637
AK,Battery Energy Storage System,64.8167,-147.725,OTHF,27,0
AK,Beaver Falls,55.37975,-131.470269,HYDRO,5.4,45.508
AK,Beluga,61.1861,-151.0356,GAS,374.4,1216.481
AK,Bernice Lake,60.6935,-151.3874,GAS,76.7,17.447
AK,Bethel,60.7897,-161.787778,OIL,12.6,41.963
AK,Black Bear Lake,55.476472,-133.14772,HYDRO,4.5,21.145
AK,Bradley Lake,59.77862,-150.94015,HYDRO,126,432.575
AK,Centennial,55.1139,-131.5481,OIL,3.3,-0.039
AK,Chester Lake,55.116879,-131.545879,HYDRO,1,5.966
AK,Chevak,61.479444,-165.499444,OIL,1,0
AK,Cooper Lake,60.392331,-149.665603,HYDRO,19.4,32.05
AK,Craig (AK),55.4764,-133.1483,OIL,4.4,0.306
AK,Delta Power,64.028056,-145.719444,OIL,23.1,-0.121
AK,Delta Wind Farm,64.013889,-145.596667,WIND,1.9,4.5
AK,Dillingham,59.6708,-157.89,OIL,10.7,18.459
AK,Dutch Harbor,53.9761,-166.5361,OIL,26,46.622
AK,Eielson AFB Central Heat & Power Plant,64.67141,-147.075988,COAL,33.5,68.264
AK,Eklutna Generation Station,61.457778,-149.351389,GAS,171,0
AK,Eklutna Hydro Project,61.475211,-149.15009,HYDRO,44.4,83.11
AK,Elim,64.6206,-162.2772,OIL,1.6,1.198
AK,Emmonak,60.788889,-161.789722,OIL,3.5,3.425
AK,ESS Battery,57.799167,-152.404167,OTHF,3,0
AK,Eva Creek Wind,64.058333,-148.9,WIND,24.6,71.779
AK,Fairbanks,64.854171,-147.719351,OIL,42.2,7.085
AK,False Island,55.4889,-133.1339,OIL,1.6,0.818
AK,Fire Island Wind,61.13,-150.243611,WIND,18,47.813
AK,Fort Greely Power Plant,63.0947,-145.7172,OIL,10.4,0.11956
AK,Galena Electric Utility,64.7381,-156.94,OIL,8,5.697
AK,Gambell,63.7667,-171.7375,OIL,1.6,1.513
AK,George M Sullivan Generation Plant 2,61.229713,-149.716744,GAS,266.3,493.716997
AK,Glennallen,61.9769,-146.5494,OIL,11.3,9.104
AK,Goat Lake Hydro,59.5357,-135.2123,HYDRO,4,15.14
AK,Gold Creek,58.3107,-134.4174,HYDRO,9.7,5.652
AK,Green Lake,56.986284,-135.12275,HYDRO,18.6,70.792
AK,Gwitchyaa Zhee,66.5208,-145.3064,OIL,3.2,2.279
AK,Haines,59.2358,-135.445,OIL,7.3,-0.122
AK,Healy,63.8542,-148.95,COAL,80.8,185.905
AK,Hoonah,58.114167,-135.407778,OIL,3.4,4.445
AK,Hooper Bay,61.5208,-166.1003,OIL,2.4,2.809
AK,Humpback Creek,60.612822,-145.679411,HYDRO,1.2,3.1
AK,Hydaburg,55.2081,-132.8267,OIL,1,0.013
AK,Industrial Plant,58.367635,-134.60802,OIL,25,0
AK,International,61.168972,-149.911038,GAS,46.3,0.862
AK,Jarvis Street,57.0497,-135.3128,OIL,25.6,0.251
AK,JBER Landfill Gas Power Plant,61.285,-149.611667,BIOMASS,11.5,56.167
AK,Kake,56.957857,-133.908103,OIL,3,2.683
AK,Kasidaya Creek Hydro,59.4072,-135.3408,HYDRO,3,8.64
AK,Kasigluk,60.8731,-162.5197,OIL,1.6,2.626
AK,Ketchikan,55.344641,-131.633425,HYDRO,4.2,24.429
AK,Kiana,67.5683,-160.5053,OIL,1.7,1.52
AK,King Cove,55.061683,-162.3103,HYDRO,2.6,3.8215
AK,Kivalina,67.63,-163.7189,OIL,1.1,1.193
AK,Klawock,55.557778,-132.981389,OIL,1.4,0
AK,Kodiak,57.789683,-152.39675,OIL,41.3,0
AK,Kotlik,62.9456,-163.7614,OIL,1.4,1.92
AK,Kotzebue,66.837778,-162.556944,OIL,32.6,21.294
AK,Koyuk,64.93,-161.16,OIL,1.1,1.245
AK,Lake Dorothy Hydroelectric Project,58.2325,-134.0533,HYDRO,14.3,83.6
AK,Lemon Creek,58.3536,-134.4953,OIL,61.7,0.181
AK,Mahoney Lake Hydroelectric,55.419444,-131.537778,HYDRO,9.6,0
AK,McGrath,63.2369,-154.219444,OIL,3.2,2.399
AK,Mountain Village,62.1656,-163.0783,OIL,2.5,2.803
AK,Naknek,58.8128,-156.7319,OIL,11.1,20.718
AK,Newhalen,59.899054,-154.698735,HYDRO,3.2,3.425
AK,Nikiski Co-Generation,60.676539,-151.377713,GAS,77.9,371.284
AK,Noatak,67.57,-162.98,OIL,1.7,1.776
AK,Noorvik,66.8553,-160.4958,OIL,1,1.834
AK,North Pole,64.7356,-147.3481,OIL,181,313.855005
AK,Northway,62.9617,-141.9372,OIL,1.5,1.158
AK,NSB Anaktuvuk Pass,68.7494,-152.1319,OIL,2.9,3.964
AK,NSB Atqasuk Utility,70.4808,-157.3969,OIL,3.4,3.373
AK,NSB Kaktovik Utility,69.2925,-143.7303,OIL,2.6,4.492
AK,NSB Nuiqsut Utility,69.9636,-152.7539,OIL,4.8,6.598
AK,NSB Point Hope Utility,69.0408,-160.1919,OIL,4.6,5.759
AK,NSB Point Lay Utility,69.740833,-163.005833,OIL,4.6,3.542
AK,NSB Wainwright Utility,70.5986,-160.0614,OIL,3.3,6.357
AK,Nunapitchuk,60.875278,-162.453333,OIL,1.7,0
AK,Nymans Plant,57.7911,-152.4058,OIL,10,0
AK,Orca,60.555,-145.7531,OIL,13.7,7.57
AK,Pelican,57.957197,-136.220095,OIL,2.9,1.1
AK,Petersburg,56.81104,-132.957091,HYDRO,14.8,13.84006
AK,Pillar Mountain Wind Project,57.7869,-152.4406,WIND,9,23.323
AK,Pilot Station,61.9381,-162.875,OIL,1.2,1.698
AK,Port Lions,57.7911,-152.4058,OIL,1,0
AK,Power Creek,60.588686,-145.604539,HYDRO,6,16.525
AK,Purple Lake,55.091263,-131.544978,HYDRO,3.9,15.66
AK,Quinhagak,59.7539,-161.9008,OIL,1.1,1.69
