,name,lat,lon,type2,type,power_kW,duration,status,usecase,city,state
0,PG&E Advanced Underground Compressed Air Energy Storage (CAES),37.9175935,-121.1710389,Compressed Air Storage,Electro-mechanical,300000,10,Announced,Electric Energy Time Shift,San Joaquin County,CA
1,Next Gen CAES using Steel Piping - NYPA,40.7282239,-73.7948516,Compressed Air Storage,Electro-mechanical,9000,4.5,Announced,Black Start,Queens,NY
2,Lake Elsinore Advanced Pumped Storage,33.668077200000006,-117.3272615,Closed-loop Pumped Hydro Storage,Pumped Hydro Storage,500000,12,Announced,Frequency Regulation,Lake Elsinore,CA
3,NYSEG Seneca/Watkins Glen CAES Project,42.415934,-76.89683199999999,Compressed Air Storage,Electro-mechanical,0,n/a,Announced,Frequency Regulation,Reading,NY
4,Con Edison/Eos Energy Storage Distributed Energy Storage Pilot,40.7143528,-74.00597309999999,Metal Air Battery,Electro-chemical,1000,6,Announced,Stationary Transmission/Distribution Upgrade Deferral,New York,NY
5,Apex Bethel Energy Center,31.8354447,-95.83885040000001,Compressed Air Storage,Electro-mechanical,317000,96,Announced,Black Start,Tennessee Colony,TX
6,Eldorado Pumped Storage,36.079561299999995,-115.094045,Closed-loop Pumped Hydro Storage,Pumped Hydro Storage,1000000,10.33,Announced,Electric Supply Capacity,Clark County,NV
7,Prineville Pumped Storage,44.0978126,-120.09636540000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,150000,8.2,Announced,Electric Supply Capacity,Crook County,OR
8,Advanced Rail Energy Storage Nevada ,36.2082943,-115.98391470000001,Gravitational Storage,Electro-mechanical,50000,0.25,Announced,Electric Supply Reserve Capacity - Spinning,Pahrump,NV
9,SolarCity / Tesla / Princeton Power Grid Services Project (Fremont Site 1),37.548269700000006,-121.98857190000001,Lithium-ion Battery,Electro-chemical,200,1,Announced,Electric Bill Management,Fremont,CA
10,SolarCity / Tesla / Princeton Power EV Charging Station (Fremont Site 2),37.548269700000006,-121.98857190000001,Lithium-ion Battery,Electro-chemical,30,1,Announced,Electric Bill Management,Fremont,CA
11,Silver Creek Pumped Storage Project,40.7564536,-76.1283713,Closed-loop Pumped Hydro Storage,Pumped Hydro Storage,300000,8,Announced,Renewables Energy Time Shift,Blythe Township,PA
12,Green Charge Networks GreenStation Announced 1,36.8177592,-119.8084436,Lithium-ion Battery,Electro-chemical,120,1,Announced,Electric Bill Management,Fresno,CA
13,Green Charge Networks GreenStation Announced 2,36.7213819,-119.80596270000001,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Fresno,CA
14,Green Charge Networks GreenStation Announced 3,36.7670924,-119.8041469,Lithium-ion Battery,Electro-chemical,60,1,Announced,Electric Bill Management,Fresno,CA
